W(GeV)	sigma(nb)	deltaSigma(nb)	deltaSigmaExp(nb)	deltaSigmaPHOJET(nb)	deltaSigmaPHYTIA(nb)	scaleUncertainty(%)
6.7	397.2	0.5	30	28	-28	5
12.3	365.2	0.4	19	4	-4	5
22.7	354.4	0.5	12	-14	14	5
37.8	374.8	0.8	8	-26	26	5
54.8	411.5	1.1	7	-37	37	5
80.2	470.3	1.4	13	-49	49	5
120.4	572.0	3.3	53	-89	89	5
158.7	734.1	8.7	102	-202	202	5
