j	t1(j)	t2(j)	t3(j)	t4(j)
1.3	0.61912	2.47377	4.67428	7.50747
1.31	0.710388	2.59395	4.86727	7.74657
1.32	0.798115	2.71284	5.057	7.9814
1.33	0.882603	2.83052	5.24355	8.2122
1.34	0.964124	2.947	5.42703	8.43919
1.35	1.04292	3.06234	5.60754	8.66258
1.36	1.11922	3.17655	5.78517	8.88256
1.37	1.19322	3.28966	5.96004	9.09931
1.38	1.2651	3.4017	6.13223	9.31298
1.39	1.33502	3.51269	6.30185	9.52374
1.4	1.40314	3.62265	6.46899	9.73171
1.41	1.46957	3.73159	6.63375	9.93703
1.42	1.53444	3.83955	6.79621	10.1398
1.43	1.59787	3.94654	6.95647	10.3402
1.44	1.65995	4.05259	7.1146	10.5382
1.45	1.72077	4.1577	7.27069	10.734
1.46	1.7804	4.26191	7.42481	10.9277
1.47	1.83894	4.36523	7.57704	11.1193
1.48	1.89644	4.46769	7.72744	11.3089
1.49	1.95296	4.5693	7.87609	11.4966
1.5	2.00857	4.67008	8.02304	11.6824
1.51	2.06332	4.77006	8.16837	11.8665
1.52	2.11725	4.86925	8.31213	12.0489
1.53	2.17041	4.96766	8.45437	12.2296
1.54	2.22284	5.06532	8.59515	12.4087
1.55	2.27458	5.16225	8.73452	12.5862
1.56	2.32566	5.25846	8.87254	12.7622
1.57	2.37611	5.35397	9.00924	12.9367
1.58	2.42598	5.44879	9.14467	13.1099
1.59	2.47527	5.54295	9.27888	13.2816
1.6	2.52403	5.63645	9.4119	13.4519
1.61	2.57227	5.72932	9.54377	13.621
1.62	2.62002	5.82156	9.67454	13.7888
1.63	2.6673	5.91319	9.80423	13.9553
1.64	2.71413	6.00423	9.93289	14.1206
1.65	2.76053	6.09469	10.0605	14.2848
1.66	2.80652	6.18457	10.1872	14.4478
1.67	2.8521	6.27391	10.3129	14.6096
1.68	2.89731	6.3627	10.4377	14.7704
1.69	2.94215	6.45096	10.5617	14.9301
1.7	2.98663	6.53869	10.6847	15.0887
1.71	3.03078	6.62592	10.8069	15.2464
1.72	3.0746	6.71266	10.9283	15.403
1.73	3.1181	6.7989	11.049	15.5586
1.74	3.1613	6.88468	11.1688	15.7133
1.75	3.2042	6.96998	11.2879	15.8671
1.76	3.24682	7.05483	11.4063	16.0199
1.77	3.28917	7.13923	11.5239	16.1718
1.78	3.33126	7.22319	11.6409	16.3229
1.79	3.37308	7.30673	11.7572	16.4731
1.8	3.41466	7.38984	11.8728	16.6225
1.81	3.456	7.47255	11.9879	16.771
1.82	3.49711	7.55485	12.1022	16.9187
1.83	3.53799	7.63675	12.216	17.0657
1.84	3.57865	7.71827	12.3292	17.2118
1.85	3.61911	7.79941	12.4418	17.3572
1.86	3.65935	7.88017	12.5539	17.5019
1.87	3.6994	7.96057	12.6654	17.6458
1.88	3.73925	8.04061	12.7764	17.789
1.89	3.77892	8.1203	12.8868	17.9315
1.9	3.8184	8.19964	12.9967	18.0734
1.91	3.85771	8.27864	13.1062	18.2145
1.92	3.89684	8.35732	13.2151	18.355
1.93	3.9358	8.43566	13.3236	18.4948
1.94	3.9746	8.51369	13.4316	18.6339
1.95	4.01324	8.5914	13.5391	18.7725
1.96	4.05173	8.6688	13.6462	18.9104
1.97	4.09006	8.7459	13.7528	19.0477
1.98	4.12825	8.82269	13.8591	19.1844
1.99	4.1663	8.8992	13.9648	19.3206
2	4.2042	8.97542	14.0702	19.4561
2.01	4.24197	9.05135	14.1752	19.5911
2.02	4.27961	9.12701	14.2798	19.7255
2.03	4.31712	9.20239	14.384	19.8594
2.04	4.3545	9.27751	14.4878	19.9928
2.05	4.39176	9.35236	14.5913	20.1256
2.06	4.4289	9.42695	14.6943	20.2579
2.07	4.46592	9.50128	14.797	20.3896
2.08	4.50282	9.57536	14.8994	20.5209
2.09	4.53962	9.6492	15.0014	20.6517
2.1	4.5763	9.72279	15.1031	20.782
2.11	4.61288	9.79614	15.2044	20.9118
2.12	4.64936	9.86926	15.3054	21.0411
2.13	4.68573	9.94214	15.4061	21.17
2.14	4.722	10.0148	15.5065	21.2984
2.15	4.75818	10.0872	15.6066	21.4264
2.16	4.79426	10.1594	15.7063	21.5539
2.17	4.83024	10.2314	15.8058	21.681
2.18	4.86614	10.3032	15.9049	21.8076
2.19	4.90195	10.3748	16.0038	21.9338
2.2	4.93767	10.4461	16.1024	22.0597
2.21	4.9733	10.5173	16.2007	22.1851
2.22	5.00885	10.5882	16.2987	22.31
2.23	5.04432	10.659	16.3965	22.4346
2.24	5.07971	10.7296	16.4939	22.5588
2.25	5.11502	10.7999	16.5912	22.6827
2.26	5.15026	10.8701	16.6881	22.8061
2.27	5.18542	10.9401	16.7848	22.9291
2.28	5.22051	11.0099	16.8813	23.0518
2.29	5.25552	11.0795	16.9775	23.1741
2.3	5.29046	11.1489	17.0734	23.2961
2.31	5.32534	11.2182	17.1691	23.4177
2.32	5.36015	11.2873	17.2646	23.539
2.33	5.39489	11.3562	17.3599	23.6599
2.34	5.42957	11.425	17.4549	23.7804
2.35	5.46418	11.4936	17.5496	23.9007
2.36	5.49873	11.562	17.6442	24.0206
2.37	5.53322	11.6302	17.7385	24.1401
2.38	5.56765	11.6983	17.8327	24.2594
2.39	5.60202	11.7663	17.9266	24.3783
2.4	5.63634	11.834	18.0203	24.4969
2.41	5.6706	11.9017	18.1137	24.6152
2.42	5.7048	11.9691	18.207	24.7332
2.43	5.73895	12.0365	18.3001	24.8509
2.44	5.77305	12.1036	18.393	24.9683
2.45	5.80709	12.1707	18.4856	25.0855
2.46	5.84108	12.2376	18.5781	25.2023
2.47	5.87503	12.3043	18.6704	25.3188
2.48	5.90892	12.3709	18.7625	25.4351
2.49	5.94277	12.4374	18.8544	25.551
2.5	5.97657	12.5037	18.9461	25.6667
2.51	6.01032	12.5699	19.0377	25.7822
2.52	6.04403	12.636	19.129	25.8973
2.53	6.07769	12.7019	19.2202	26.0122
2.54	6.11131	12.7677	19.3112	26.1269
2.55	6.14489	12.8334	19.402	26.2412
2.56	6.17842	12.8989	19.4927	26.3553
2.57	6.21192	12.9643	19.5832	26.4692
2.58	6.24537	13.0296	19.6735	26.5828
2.59	6.27878	13.0948	19.7636	26.6962
2.6	6.31216	13.1599	19.8536	26.8093
2.61	6.3455	13.2248	19.9434	26.9222
2.62	6.3788	13.2896	20.0331	27.0349
2.63	6.41206	13.3543	20.1226	27.1473
2.64	6.44529	13.4189	20.2119	27.2595
2.65	6.47848	13.4834	20.3011	27.3714
