j	t1(j)	t2(j)	t3(j)	t4(j)
1.29	0.95327	2.80714	5.85826	9.04134
1.3	1.01787	2.92192	6.00568	9.22583
1.31	1.08112	3.03509	6.15152	9.40856
1.32	1.14312	3.14672	6.29583	9.58955
1.33	1.20395	3.25688	6.43865	9.76888
1.34	1.26369	3.36563	6.58003	9.94657
1.35	1.32241	3.47304	6.72001	10.1227
1.36	1.38017	3.57916	6.85863	10.2972
1.37	1.43705	3.68405	6.99593	10.4703
1.38	1.49307	3.78776	7.13196	10.6419
1.39	1.54831	3.89034	7.26676	10.8121
1.4	1.60279	3.99184	7.40035	10.9809
1.41	1.65656	4.09229	7.53278	11.1483
1.42	1.70965	4.19175	7.66408	11.3145
1.43	1.76211	4.29024	7.79428	11.4793
1.44	1.81395	4.38781	7.92341	11.6429
1.45	1.86522	4.48449	8.05152	11.8053
1.46	1.91593	4.58031	8.17861	11.9665
1.47	1.96611	4.6753	8.30474	12.1265
1.48	2.01579	4.76949	8.42991	12.2855
1.49	2.06499	4.86291	8.55416	12.4433
1.5	2.11373	4.95558	8.67752	12.6
1.51	2.16202	5.04754	8.8	12.7557
1.52	2.20988	5.13879	8.92163	12.9103
1.53	2.25734	5.22937	9.04244	13.064
1.54	2.3044	5.31929	9.16245	13.2166
1.55	2.35109	5.40858	9.28167	13.3684
1.56	2.39742	5.49725	9.40013	13.5191
1.57	2.44339	5.58533	9.51784	13.669
1.58	2.48902	5.67283	9.63484	13.8179
1.59	2.53433	5.75976	9.75112	13.966
1.6	2.57933	5.84614	9.86672	14.1132
1.61	2.62402	5.932	9.98165	14.2596
1.62	2.66842	6.01733	10.0959	14.4051
1.63	2.71253	6.10216	10.2095	14.5499
1.64	2.75637	6.1865	10.3226	14.6938
1.65	2.79994	6.27037	10.435	14.837
1.66	2.84326	6.35376	10.5468	14.9794
1.67	2.88632	6.4367	10.658	15.1211
1.68	2.92914	6.5192	10.7686	15.262
1.69	2.97173	6.60127	10.8787	15.4022
1.7	3.01409	6.68292	10.9883	15.5418
1.71	3.05623	6.76415	11.0973	15.6806
1.72	3.09815	6.84498	11.2058	15.8188
1.73	3.13987	6.92542	11.3138	15.9563
1.74	3.18138	7.00548	11.4213	16.0931
1.75	3.22269	7.08516	11.5283	16.2293
1.76	3.26381	7.16447	11.6348	16.3649
1.77	3.30475	7.24343	11.7409	16.4998
1.78	3.3455	7.32203	11.8465	16.6342
1.79	3.38608	7.40029	11.9517	16.768
1.8	3.42648	7.47821	12.0564	16.9011
1.81	3.46672	7.55581	12.1607	17.0337
1.82	3.50679	7.63308	12.2645	17.1658
1.83	3.54671	7.71004	12.368	17.2973
1.84	3.58646	7.78668	12.471	17.4282
1.85	3.62607	7.86303	12.5737	17.5586
1.86	3.66553	7.93907	12.6759	17.6885
1.87	3.70484	8.01482	12.7778	17.8179
1.88	3.74401	8.09029	12.8793	17.9467
1.89	3.78305	8.16548	12.9804	18.0751
1.9	3.82195	8.24039	13.0812	18.2029
1.91	3.86072	8.31503	13.1816	18.3303
1.92	3.89936	8.38941	13.2817	18.4572
1.93	3.93787	8.46352	13.3814	18.5836
1.94	3.97627	8.53738	13.4807	18.7096
1.95	4.01454	8.61099	13.5798	18.8351
1.96	4.0527	8.68435	13.6785	18.9602
1.97	4.09074	8.75747	13.7769	19.0848
1.98	4.12867	8.83035	13.875	19.209
1.99	4.16649	8.903	13.9728	19.3328
2	4.2042	8.97542	14.0702	19.4561
2.01	4.24181	9.04761	14.1674	19.5791
2.02	4.27932	9.11958	14.2643	19.7016
2.03	4.31673	9.19133	14.3609	19.8237
2.04	4.35403	9.26286	14.4572	19.9454
2.05	4.39125	9.33418	14.5532	20.0668
2.06	4.42836	9.4053	14.6489	20.1877
2.07	4.46539	9.4762	14.7444	20.3083
2.08	4.50232	9.54691	14.8396	20.4285
2.09	4.53917	9.61742	14.9345	20.5483
2.1	4.57593	9.68773	15.0292	20.6678
2.11	4.6126	9.75786	15.1236	20.7869
2.12	4.64919	9.82779	15.2178	20.9056
2.13	4.6857	9.89753	15.3117	21.024
2.14	4.72213	9.96709	15.4054	21.1421
2.15	4.75848	10.0365	15.4988	21.2598
2.16	4.79476	10.1057	15.592	21.3772
2.17	4.83096	10.1747	15.685	21.4942
2.18	4.86708	10.2436	15.7777	21.611
2.19	4.90313	10.3122	15.8702	21.7274
2.2	4.93911	10.3808	15.9625	21.8435
2.21	4.97502	10.4491	16.0546	21.9593
2.22	5.01087	10.5173	16.1464	22.0747
2.23	5.04664	10.5853	16.238	22.1899
2.24	5.08235	10.6532	16.3294	22.3048
2.25	5.118	10.7209	16.4206	22.4193
2.26	5.15358	10.7884	16.5116	22.5336
2.27	5.1891	10.8558	16.6024	22.6476
2.28	5.22455	10.9231	16.693	22.7613
2.29	5.25995	10.9902	16.7834	22.8747
2.3	5.29529	11.0572	16.8736	22.9879
2.31	5.33057	11.124	16.9636	23.1007
2.32	5.36579	11.1907	17.0534	23.2133
2.33	5.40096	11.2572	17.1431	23.3257
2.34	5.43608	11.3236	17.2325	23.4377
2.35	5.47114	11.3898	17.3218	23.5495
2.36	5.50614	11.456	17.4108	23.6611
2.37	5.5411	11.522	17.4997	23.7724
2.38	5.576	11.5878	17.5885	23.8834
2.39	5.61086	11.6535	17.677	23.9942
2.4	5.64566	11.7191	17.7654	24.1047
2.41	5.68042	11.7846	17.8536	24.215
2.42	5.71513	11.85	17.9416	24.3251
2.43	5.74979	11.9152	18.0295	24.4349
2.44	5.78441	11.9803	18.1172	24.5445
2.45	5.81898	12.0453	18.2047	24.6538
2.46	5.85351	12.1101	18.2921	24.763
2.47	5.88799	12.1749	18.3793	24.8719
2.48	5.92244	12.2395	18.4664	24.9805
2.49	5.95684	12.304	18.5533	25.089
2.5	5.9912	12.3684	18.6401	25.1972
2.51	6.02552	12.4327	18.7267	25.3052
2.52	6.05979	12.4969	18.8131	25.413
2.53	6.09404	12.561	18.8995	25.5206
2.54	6.12824	12.625	18.9856	25.628
2.55	6.1624	12.6888	19.0716	25.7352
2.56	6.19653	12.7526	19.1575	25.8421
2.57	6.23062	12.8162	19.2433	25.9489
2.58	6.26467	12.8798	19.3289	26.0555
2.59	6.2987	12.9432	19.4143	26.1618
2.6	6.33268	13.0066	19.4996	26.268
2.61	6.36663	13.0698	19.5848	26.374
2.62	6.40055	13.133	19.6699	26.4798
2.63	6.43444	13.196	19.7548	26.5853
2.64	6.46829	13.259	19.8396	26.6907
2.65	6.50211	13.3218	19.9242	26.796
2.66	6.5359	13.3846	20.0088	26.901
2.67	6.56966	13.4473	20.0932	27.0058
2.68	6.60339	13.5099	20.1774	27.1105
2.69	6.6371	13.5723	20.2616	27.215
2.7	6.67077	13.6348	20.3456	27.3193
2.71	6.70441	13.6971	20.4295	27.4235
2.72	6.73803	13.7593	20.5133	27.5274
2.73	6.77162	13.8214	20.597	27.6312
2.74	6.80518	13.8835	20.6805	27.7348
2.75	6.83871	13.9455	20.764	27.8383
2.76	6.87222	14.0073	20.8473	27.9416
2.77	6.9057	14.0691	20.9305	28.0447
