j	t1(j)	t2(j)	t3(j)	t4(j)
2.46	5.84108	12.2376	18.5781	25.2023
2.47	5.87503	12.3043	18.6704	25.3188
2.48	5.90892	12.3709	18.7625	25.4351
2.49	5.94277	12.4374	18.8544	25.551
2.5	5.97657	12.5037	18.9461	25.6667
2.51	6.01032	12.5699	19.0377	25.7822
2.52	6.04403	12.636	19.129	25.8973
2.53	6.07769	12.7019	19.2202	26.0122
2.54	6.11131	12.7677	19.3112	26.1268
2.55	6.14489	12.8334	19.402	26.2412
2.56	6.17842	12.8989	19.4927	26.3553
2.57	6.21192	12.9643	19.5832	26.4692
2.58	6.24537	13.0296	19.6735	26.5828
2.59	6.27878	13.0948	19.7636	26.6962
2.6	6.31216	13.1599	19.8536	26.8093
2.61	6.3455	13.2248	19.9434	26.9222
2.62	6.3788	13.2896	20.0331	27.0349
2.63	6.41206	13.3543	20.1226	27.1473
2.64	6.44529	13.4189	20.2119	27.2595
2.65	6.47848	13.4834	20.3011	27.3714
2.66	6.51164	13.5478	20.3902	27.4832
2.67	6.54476	13.612	20.4791	27.5947
2.68	6.57785	13.6762	20.5678	27.7059
2.69	6.61091	13.7402	20.6564	27.817
2.7	6.64394	13.8042	20.7448	27.9279
2.71	6.67693	13.868	20.8331	28.0385
2.72	6.7099	13.9317	20.9213	28.1489
2.73	6.74283	13.9953	21.0093	28.2592
2.74	6.77574	14.0588	21.0972	28.3692
2.75	6.80861	14.1223	21.1849	28.479
2.76	6.84146	14.1856	21.2725	28.5886
2.77	6.87428	14.2488	21.3599	28.698
2.78	6.90707	14.3119	21.4473	28.8072
2.79	6.93984	14.375	21.5345	28.9162
2.8	6.97257	14.4379	21.6215	29.025
2.81	7.00529	14.5007	21.7084	29.1337
2.82	7.03798	14.5635	21.7952	29.2421
2.83	7.07064	14.6261	21.8819	29.3504
2.84	7.10328	14.6887	21.9685	29.4584
2.85	7.13589	14.7512	22.0549	29.5663
2.86	7.16849	14.8136	22.1412	29.674
2.87	7.20106	14.8759	22.2274	29.7816
2.88	7.2336	14.9381	22.3134	29.8889
2.89	7.26613	15.0002	22.3994	29.9961
2.9	7.29863	15.0623	22.4852	30.1031
2.91	7.33111	15.1242	22.5709	30.2099
2.92	7.36357	15.1861	22.6564	30.3166
2.93	7.39602	15.2479	22.7419	30.4231
2.94	7.42844	15.3096	22.8273	30.5294
2.95	7.46084	15.3713	22.9125	30.6356
2.96	7.49322	15.4328	22.9976	30.7416
2.97	7.52559	15.4943	23.0827	30.8474
2.98	7.55794	15.5557	23.1676	30.9531
2.99	7.59027	15.617	23.2524	31.0587
3	7.62258	15.6783	23.3371	31.164
3.01	7.65487	15.7395	23.4216	31.2692
3.02	7.68715	15.8006	23.5061	31.3743
3.03	7.71941	15.8616	23.5905	31.4792
3.04	7.75166	15.9226	23.6748	31.584
3.05	7.78389	15.9834	23.7589	31.6886
3.06	7.8161	16.0443	23.843	31.793
3.07	7.8483	16.105	23.927	31.8974
3.08	7.88049	16.1657	24.0108	32.0015
3.09	7.91266	16.2263	24.0946	32.1056
3.1	7.94482	16.2868	24.1783	32.2095
3.11	7.97696	16.3473	24.2618	32.3132
3.12	8.00909	16.4077	24.3453	32.4168
3.13	8.04121	16.468	24.4287	32.5203
3.14	8.07332	16.5283	24.512	32.6236
3.15	8.10541	16.5885	24.5952	32.7268
3.16	8.13749	16.6487	24.6782	32.8299
3.17	8.16956	16.7087	24.7613	32.9328
3.18	8.20162	16.7688	24.8442	33.0356
3.19	8.23366	16.8287	24.927	33.1383
3.2	8.2657	16.8886	25.0097	33.2409
3.21	8.29772	16.9485	25.0924	33.3433
3.22	8.32974	17.0082	25.1749	33.4456
3.23	8.36174	17.0679	25.2574	33.5477
3.24	8.39374	17.1276	25.3398	33.6498
3.25	8.42572	17.1872	25.4221	33.7517
3.26	8.4577	17.2467	25.5043	33.8535
3.27	8.48966	17.3062	25.5864	33.9552
3.28	8.52162	17.3657	25.6685	34.0567
3.29	8.55357	17.425	25.7504	34.1582
3.3	8.58551	17.4844	25.8323	34.2595
3.31	8.61745	17.5436	25.9141	34.3607
3.32	8.64937	17.6028	25.9958	34.4618
3.33	8.68129	17.662	26.0774	34.5628
3.34	8.7132	17.7211	26.159	34.6636
3.35	8.7451	17.7801	26.2405	34.7644
3.36	8.777	17.8391	26.3219	34.865
3.37	8.80889	17.8981	26.4032	34.9656
3.38	8.84078	17.957	26.4844	35.066
3.39	8.87265	18.0158	26.5656	35.1663
3.4	8.90453	18.0746	26.6467	35.2665
3.41	8.93639	18.1334	26.7277	35.3666
3.42	8.96825	18.1921	26.8086	35.4666
3.43	9.00011	18.2507	26.8895	35.5665
3.44	9.03196	18.3093	26.9703	35.6662
3.45	9.0638	18.3679	27.051	35.7659
3.46	9.09564	18.4264	27.1317	35.8655
3.47	9.12748	18.4849	27.2123	35.965
3.48	9.15931	18.5433	27.2928	36.0643
3.49	9.19114	18.6017	27.3732	36.1636
3.5	9.22296	18.66	27.4536	36.2628
3.51	9.25478	18.7183	27.5339	36.3619
3.52	9.2866	18.7765	27.6141	36.4609
3.53	9.31841	18.8347	27.6943	36.5597
3.54	9.35022	18.8928	27.7743	36.6585
3.55	9.38203	18.951	27.8544	36.7572
3.56	9.41384	19.009	27.9343	36.8558
3.57	9.44564	19.067	28.0142	36.9543
3.58	9.47744	19.125	28.0941	37.0527
3.59	9.50923	19.183	28.1738	37.1511
3.6	9.54103	19.2409	28.2535	37.2493
3.61	9.57282	19.2987	28.3331	37.3474
3.62	9.60461	19.3565	28.4127	37.4455
3.63	9.6364	19.4143	28.4922	37.5435
3.64	9.66819	19.4721	28.5717	37.6413
3.65	9.69998	19.5298	28.6511	37.7391
3.66	9.73176	19.5874	28.7304	37.8368
3.67	9.76355	19.645	28.8096	37.9344
3.68	9.79533	19.7026	28.8888	38.032
3.69	9.82712	19.7602	28.968	38.1294
3.7	9.8589	19.8177	29.0471	38.2268
3.71	9.89068	19.8752	29.1261	38.3241
3.72	9.92247	19.9326	29.205	38.4212
3.73	9.95425	19.99	29.2839	38.5184
3.74	9.98603	20.0474	29.3628	38.6154
3.75	10.0178	20.1047	29.4416	38.7123
3.76	10.0496	20.162	29.5203	38.8092
