x	xg	error+	error-	error
1e-06	24.3599	19.492	19.492	19.492
1.00023e-06	24.3591	19.4907	19.4907	19.4907
1.00046e-06	24.3583	19.4895	19.4895	19.4895
1.00069e-06	24.3575	19.4883	19.4883	19.4883
1.00092e-06	24.3566	19.4871	19.4871	19.4871
1.00115e-06	24.3558	19.4859	19.4859	19.4859
1.00138e-06	24.355	19.4847	19.4847	19.4847
1.00161e-06	24.3541	19.4835	19.4835	19.4835
1.00184e-06	24.3533	19.4823	19.4823	19.4823
1.00207e-06	24.3525	19.4811	19.4811	19.4811
1.00231e-06	24.3517	19.4799	19.4799	19.4799
1.00254e-06	24.3508	19.4787	19.4787	19.4787
1.00277e-06	24.35	19.4775	19.4775	19.4775
1.003e-06	24.3492	19.4763	19.4763	19.4763
1.00323e-06	24.3483	19.4751	19.4751	19.4751
1.00346e-06	24.3475	19.4739	19.4739	19.4739
1.00369e-06	24.3467	19.4726	19.4726	19.4726
1.00392e-06	24.3459	19.4714	19.4714	19.4714
1.00415e-06	24.345	19.4702	19.4702	19.4702
1.00438e-06	24.3442	19.469	19.469	19.469
1.00462e-06	24.3434	19.4678	19.4678	19.4678
1.00485e-06	24.3426	19.4666	19.4666	19.4666
1.00508e-06	24.3417	19.4654	19.4654	19.4654
1.00531e-06	24.3409	19.4642	19.4642	19.4642
1.00554e-06	24.3401	19.463	19.463	19.463
1.00577e-06	24.3393	19.4618	19.4618	19.4618
1.006e-06	24.3384	19.4606	19.4606	19.4606
1.00624e-06	24.3376	19.4594	19.4594	19.4594
1.00647e-06	24.3368	19.4582	19.4582	19.4582
1.0067e-06	24.3359	19.457	19.457	19.457
1.00693e-06	24.3351	19.4558	19.4558	19.4558
1.00716e-06	24.3343	19.4546	19.4546	19.4546
1.0074e-06	24.3335	19.4534	19.4534	19.4534
1.00763e-06	24.3326	19.4522	19.4522	19.4522
1.00786e-06	24.3318	19.4509	19.4509	19.4509
1.00809e-06	24.331	19.4497	19.4497	19.4497
1.00832e-06	24.3302	19.4485	19.4485	19.4485
1.00856e-06	24.3293	19.4473	19.4473	19.4473
1.00879e-06	24.3285	19.4461	19.4461	19.4461
1.00902e-06	24.3277	19.4449	19.4449	19.4449
1.00925e-06	24.3268	19.4437	19.4437	19.4437
1.00949e-06	24.326	19.4425	19.4425	19.4425
1.00972e-06	24.3252	19.4413	19.4413	19.4413
1.00995e-06	24.3244	19.4401	19.4401	19.4401
1.01018e-06	24.3235	19.4389	19.4389	19.4389
1.01042e-06	24.3227	19.4377	19.4377	19.4377
1.01065e-06	24.3219	19.4365	19.4365	19.4365
1.01088e-06	24.3211	19.4353	19.4353	19.4353
1.01111e-06	24.3202	19.4341	19.4341	19.4341
1.01135e-06	24.3194	19.4329	19.4329	19.4329
1.01158e-06	24.3186	19.4317	19.4317	19.4317
1.01181e-06	24.3178	19.4305	19.4305	19.4305
1.01205e-06	24.3169	19.4293	19.4293	19.4293
1.01228e-06	24.3161	19.4281	19.4281	19.4281
1.01251e-06	24.3153	19.4269	19.4269	19.4269
1.01274e-06	24.3144	19.4257	19.4257	19.4257
1.01298e-06	24.3136	19.4245	19.4245	19.4245
1.01321e-06	24.3128	19.4233	19.4233	19.4233
1.01344e-06	24.312	19.422	19.422	19.422
1.01368e-06	24.3111	19.4208	19.4208	19.4208
1.01391e-06	24.3103	19.4196	19.4196	19.4196
1.01414e-06	24.3095	19.4184	19.4184	19.4184
1.01438e-06	24.3087	19.4172	19.4172	19.4172
1.01461e-06	24.3078	19.416	19.416	19.416
1.01485e-06	24.307	19.4148	19.4148	19.4148
1.01508e-06	24.3062	19.4136	19.4136	19.4136
1.01531e-06	24.3054	19.4124	19.4124	19.4124
1.01555e-06	24.3045	19.4112	19.4112	19.4112
1.01578e-06	24.3037	19.41	19.41	19.41
1.01601e-06	24.3029	19.4088	19.4088	19.4088
1.01625e-06	24.302	19.4076	19.4076	19.4076
1.01648e-06	24.3012	19.4064	19.4064	19.4064
1.01672e-06	24.3004	19.4052	19.4052	19.4052
1.01695e-06	24.2996	19.404	19.404	19.404
1.01719e-06	24.2987	19.4028	19.4028	19.4028
1.01742e-06	24.2979	19.4016	19.4016	19.4016
1.01765e-06	24.2971	19.4004	19.4004	19.4004
1.01789e-06	24.2963	19.3992	19.3992	19.3992
1.01812e-06	24.2954	19.398	19.398	19.398
1.01836e-06	24.2946	19.3968	19.3968	19.3968
1.01859e-06	24.2938	19.3956	19.3956	19.3956
1.01883e-06	24.293	19.3944	19.3944	19.3944
1.01906e-06	24.2921	19.3932	19.3932	19.3932
1.0193e-06	24.2913	19.392	19.392	19.392
1.01953e-06	24.2905	19.3908	19.3908	19.3908
1.01976e-06	24.2897	19.3896	19.3896	19.3896
1.02e-06	24.2888	19.3884	19.3884	19.3884
1.02023e-06	24.288	19.3872	19.3872	19.3872
1.02047e-06	24.2872	19.386	19.386	19.386
1.0207e-06	24.2863	19.3848	19.3848	19.3848
1.02094e-06	24.2855	19.3836	19.3836	19.3836
1.02117e-06	24.2847	19.3824	19.3824	19.3824
1.02141e-06	24.2839	19.3812	19.3812	19.3812
1.02164e-06	24.283	19.38	19.38	19.38
1.02188e-06	24.2822	19.3788	19.3788	19.3788
1.02212e-06	24.2814	19.3776	19.3776	19.3776
1.02235e-06	24.2806	19.3764	19.3764	19.3764
1.02259e-06	24.2797	19.3752	19.3752	19.3752
1.02282e-06	24.2789	19.374	19.374	19.374
1.02306e-06	24.2781	19.3728	19.3728	19.3728
1.02329e-06	24.2773	19.3716	19.3716	19.3716
1.02353e-06	24.2764	19.3704	19.3704	19.3704
1.02376e-06	24.2756	19.3692	19.3692	19.3692
1.024e-06	24.2748	19.368	19.368	19.368
1.02424e-06	24.274	19.3668	19.3668	19.3668
1.02447e-06	24.2731	19.3656	19.3656	19.3656
1.02471e-06	24.2723	19.3644	19.3644	19.3644
1.02494e-06	24.2715	19.3632	19.3632	19.3632
1.02518e-06	24.2707	19.362	19.362	19.362
1.02542e-06	24.2698	19.3608	19.3608	19.3608
1.02565e-06	24.269	19.3596	19.3596	19.3596
1.02589e-06	24.2682	19.3584	19.3584	19.3584
1.02612e-06	24.2674	19.3572	19.3572	19.3572
