x	xg	error+	error-	error
1e-06	0.876851	9.96989	9.96989	9.96989
1.00023e-06	0.876968	9.96957	9.96957	9.96957
1.00046e-06	0.877085	9.96925	9.96925	9.96925
1.00069e-06	0.877203	9.96893	9.96893	9.96893
1.00092e-06	0.87732	9.96861	9.96861	9.96861
1.00115e-06	0.877437	9.96829	9.96829	9.96829
1.00138e-06	0.877554	9.96797	9.96797	9.96797
1.00161e-06	0.877672	9.96765	9.96765	9.96765
1.00184e-06	0.877789	9.96733	9.96733	9.96733
1.00207e-06	0.877906	9.96702	9.96702	9.96702
1.00231e-06	0.878023	9.9667	9.9667	9.9667
1.00254e-06	0.87814	9.96638	9.96638	9.96638
1.00277e-06	0.878258	9.96606	9.96606	9.96606
1.003e-06	0.878375	9.96574	9.96574	9.96574
1.00323e-06	0.878492	9.96542	9.96542	9.96542
1.00346e-06	0.878609	9.9651	9.9651	9.9651
1.00369e-06	0.878726	9.96479	9.96479	9.96479
1.00392e-06	0.878843	9.96447	9.96447	9.96447
1.00415e-06	0.87896	9.96415	9.96415	9.96415
1.00438e-06	0.879077	9.96383	9.96383	9.96383
1.00462e-06	0.879194	9.96351	9.96351	9.96351
1.00485e-06	0.879311	9.96319	9.96319	9.96319
1.00508e-06	0.879428	9.96288	9.96288	9.96288
1.00531e-06	0.879545	9.96256	9.96256	9.96256
1.00554e-06	0.879662	9.96224	9.96224	9.96224
1.00577e-06	0.879779	9.96192	9.96192	9.96192
1.006e-06	0.879896	9.9616	9.9616	9.9616
1.00624e-06	0.880013	9.96129	9.96129	9.96129
1.00647e-06	0.88013	9.96097	9.96097	9.96097
1.0067e-06	0.880247	9.96065	9.96065	9.96065
1.00693e-06	0.880364	9.96033	9.96033	9.96033
1.00716e-06	0.880481	9.96001	9.96001	9.96001
1.0074e-06	0.880597	9.9597	9.9597	9.9597
1.00763e-06	0.880714	9.95938	9.95938	9.95938
1.00786e-06	0.880831	9.95906	9.95906	9.95906
1.00809e-06	0.880948	9.95874	9.95874	9.95874
1.00832e-06	0.881065	9.95843	9.95843	9.95843
1.00856e-06	0.881181	9.95811	9.95811	9.95811
1.00879e-06	0.881298	9.95779	9.95779	9.95779
1.00902e-06	0.881415	9.95747	9.95747	9.95747
1.00925e-06	0.881531	9.95716	9.95716	9.95716
1.00949e-06	0.881648	9.95684	9.95684	9.95684
