x	xg	error+	error-	error
1e-06	32.9377	52.4177	2.21811	27.0417
1.00023e-06	32.9363	52.409	2.21802	27.0373
1.00046e-06	32.9349	52.4002	2.21792	27.0329
1.00069e-06	32.9336	52.3914	2.21783	27.0284
1.00092e-06	32.9322	52.3827	2.21774	27.024
1.00115e-06	32.9308	52.3739	2.21765	27.0196
1.00138e-06	32.9294	52.3652	2.21755	27.0152
1.00161e-06	32.928	52.3564	2.21746	27.0108
1.00184e-06	32.9266	52.3476	2.21737	27.0064
1.00207e-06	32.9252	52.3389	2.21727	27.002
1.00231e-06	32.9238	52.3301	2.21718	26.9976
1.00254e-06	32.9224	52.3214	2.21709	26.9932
1.00277e-06	32.921	52.3126	2.217	26.9888
1.003e-06	32.9196	52.3039	2.2169	26.9844
1.00323e-06	32.9182	52.2951	2.21681	26.98
1.00346e-06	32.9168	52.2864	2.21672	26.9756
1.00369e-06	32.9155	52.2776	2.21663	26.9712
1.00392e-06	32.9141	52.2689	2.21653	26.9668
1.00415e-06	32.9127	52.2602	2.21644	26.9624
1.00438e-06	32.9113	52.2514	2.21635	26.958
1.00462e-06	32.9099	52.2427	2.21626	26.9536
1.00485e-06	32.9085	52.2339	2.21616	26.9492
1.00508e-06	32.9071	52.2252	2.21607	26.9448
1.00531e-06	32.9057	52.2165	2.21598	26.9404
1.00554e-06	32.9043	52.2077	2.21589	26.936
1.00577e-06	32.9029	52.199	2.21579	26.9316
1.006e-06	32.9015	52.1903	2.2157	26.9272
1.00624e-06	32.9001	52.1815	2.21561	26.9228
1.00647e-06	32.8988	52.1728	2.21552	26.9184
1.0067e-06	32.8974	52.1641	2.21542	26.914
1.00693e-06	32.896	52.1553	2.21533	26.9097
1.00716e-06	32.8946	52.1466	2.21524	26.9053
1.0074e-06	32.8932	52.1379	2.21515	26.9009
1.00763e-06	32.8918	52.1292	2.21505	26.8965
1.00786e-06	32.8904	52.1204	2.21496	26.8921
1.00809e-06	32.889	52.1117	2.21487	26.8877
1.00832e-06	32.8876	52.103	2.21478	26.8833
1.00856e-06	32.8862	52.0943	2.21468	26.8789
1.00879e-06	32.8848	52.0856	2.21459	26.8745
1.00902e-06	32.8834	52.0768	2.2145	26.8702
1.00925e-06	32.8821	52.0681	2.21441	26.8658
1.00949e-06	32.8807	52.0594	2.21431	26.8614
1.00972e-06	32.8793	52.0507	2.21422	26.857
1.00995e-06	32.8779	52.042	2.21413	26.8526
1.01018e-06	32.8765	52.0333	2.21404	26.8482
1.01042e-06	32.8751	52.0246	2.21394	26.8439
1.01065e-06	32.8737	52.0159	2.21385	26.8395
1.01088e-06	32.8723	52.0072	2.21376	26.8351
1.01111e-06	32.8709	51.9985	2.21367	26.8307
1.01135e-06	32.8695	51.9898	2.21357	26.8263
1.01158e-06	32.8682	51.981	2.21348	26.822
1.01181e-06	32.8668	51.9723	2.21339	26.8176
1.01205e-06	32.8654	51.9636	2.2133	26.8132
1.01228e-06	32.864	51.9549	2.2132	26.8088
1.01251e-06	32.8626	51.9462	2.21311	26.8044
1.01274e-06	32.8612	51.9376	2.21302	26.8001
1.01298e-06	32.8598	51.9289	2.21293	26.7957
1.01321e-06	32.8584	51.9202	2.21283	26.7913
1.01344e-06	32.857	51.9115	2.21274	26.7869
1.01368e-06	32.8556	51.9028	2.21265	26.7826
1.01391e-06	32.8543	51.8941	2.21256	26.7782
1.01414e-06	32.8529	51.8854	2.21246	26.7738
1.01438e-06	32.8515	51.8767	2.21237	26.7695
1.01461e-06	32.8501	51.868	2.21228	26.7651
1.01485e-06	32.8487	51.8593	2.21219	26.7607
1.01508e-06	32.8473	51.8507	2.2121	26.7563
1.01531e-06	32.8459	51.842	2.212	26.752
1.01555e-06	32.8445	51.8333	2.21191	26.7476
1.01578e-06	32.8431	51.8246	2.21182	26.7432
1.01601e-06	32.8417	51.8159	2.21173	26.7389
1.01625e-06	32.8404	51.8072	2.21163	26.7345
1.01648e-06	32.839	51.7986	2.21154	26.7301
1.01672e-06	32.8376	51.7899	2.21145	26.7258
1.01695e-06	32.8362	51.7812	2.21136	26.7214
1.01719e-06	32.8348	51.7726	2.21126	26.717
1.01742e-06	32.8334	51.7639	2.21117	26.7127
1.01765e-06	32.832	51.7552	2.21108	26.7083
1.01789e-06	32.8306	51.7466	2.21099	26.704
1.01812e-06	32.8292	51.7379	2.21089	26.6996
1.01836e-06	32.8279	51.7292	2.2108	26.6952
1.01859e-06	32.8265	51.7206	2.21071	26.6909
1.01883e-06	32.8251	51.7119	2.21062	26.6865
1.01906e-06	32.8237	51.7032	2.21053	26.6822
1.0193e-06	32.8223	51.6946	2.21043	26.6778
1.01953e-06	32.8209	51.6859	2.21034	26.6735
1.01976e-06	32.8195	51.6773	2.21025	26.6691
1.02e-06	32.8181	51.6686	2.21016	26.6648
1.02023e-06	32.8167	51.66	2.21006	26.6604
1.02047e-06	32.8154	51.6513	2.20997	26.6561
1.0207e-06	32.814	51.6427	2.20988	26.6517
1.02094e-06	32.8126	51.634	2.20979	26.6474
1.02117e-06	32.8112	51.6254	2.2097	26.643
1.02141e-06	32.8098	51.6168	2.2096	26.6387
1.02164e-06	32.8084	51.6081	2.20951	26.6343
1.02188e-06	32.807	51.5995	2.20942	26.63
1.02212e-06	32.8056	51.5908	2.20933	26.6256
