x	xg	error+	error-	error
1e-06	56.7225	54.3254	3.46883	28.4867
1.00023e-06	56.7197	54.3163	3.46866	28.4821
1.00046e-06	56.717	54.3072	3.46848	28.4775
1.00069e-06	56.7143	54.2981	3.46831	28.4729
1.00092e-06	56.7116	54.289	3.46814	28.4683
1.00115e-06	56.7089	54.2799	3.46797	28.4637
1.00138e-06	56.7062	54.2708	3.46779	28.4591
1.00161e-06	56.7034	54.2617	3.46762	28.4545
1.00184e-06	56.7007	54.2526	3.46745	28.4499
1.00207e-06	56.698	54.2435	3.46727	28.4453
1.00231e-06	56.6953	54.2344	3.4671	28.4407
1.00254e-06	56.6926	54.2253	3.46693	28.4361
1.00277e-06	56.6899	54.2162	3.46676	28.4315
1.003e-06	56.6871	54.2071	3.46658	28.4269
1.00323e-06	56.6844	54.198	3.46641	28.4223
1.00346e-06	56.6817	54.1889	3.46624	28.4177
1.00369e-06	56.679	54.1798	3.46607	28.4131
1.00392e-06	56.6763	54.1708	3.46589	28.4085
1.00415e-06	56.6736	54.1617	3.46572	28.4039
1.00438e-06	56.6709	54.1526	3.46555	28.3993
1.00462e-06	56.6681	54.1435	3.46538	28.3947
1.00485e-06	56.6654	54.1344	3.4652	28.3901
1.00508e-06	56.6627	54.1254	3.46503	28.3855
1.00531e-06	56.66	54.1163	3.46486	28.3809
1.00554e-06	56.6573	54.1072	3.46468	28.3763
1.00577e-06	56.6546	54.0981	3.46451	28.3717
1.006e-06	56.6518	54.0891	3.46434	28.3672
1.00624e-06	56.6491	54.08	3.46417	28.3626
1.00647e-06	56.6464	54.0709	3.46399	28.358
1.0067e-06	56.6437	54.0619	3.46382	28.3534
1.00693e-06	56.641	54.0528	3.46365	28.3488
1.00716e-06	56.6383	54.0437	3.46348	28.3442
1.0074e-06	56.6356	54.0347	3.4633	28.3396
1.00763e-06	56.6328	54.0256	3.46313	28.335
1.00786e-06	56.6301	54.0165	3.46296	28.3305
1.00809e-06	56.6274	54.0075	3.46279	28.3259
1.00832e-06	56.6247	53.9984	3.46261	28.3213
1.00856e-06	56.622	53.9894	3.46244	28.3167
1.00879e-06	56.6193	53.9803	3.46227	28.3121
1.00902e-06	56.6166	53.9712	3.4621	28.3075
1.00925e-06	56.6139	53.9622	3.46192	28.303
1.00949e-06	56.6111	53.9531	3.46175	28.2984
1.00972e-06	56.6084	53.9441	3.46158	28.2938
1.00995e-06	56.6057	53.935	3.46141	28.2892
1.01018e-06	56.603	53.926	3.46124	28.2846
1.01042e-06	56.6003	53.9169	3.46106	28.2801
1.01065e-06	56.5976	53.9079	3.46089	28.2755
1.01088e-06	56.5949	53.8988	3.46072	28.2709
1.01111e-06	56.5922	53.8898	3.46055	28.2663
1.01135e-06	56.5894	53.8808	3.46037	28.2617
1.01158e-06	56.5867	53.8717	3.4602	28.2572
1.01181e-06	56.584	53.8627	3.46003	28.2526
1.01205e-06	56.5813	53.8536	3.45986	28.248
1.01228e-06	56.5786	53.8446	3.45968	28.2435
1.01251e-06	56.5759	53.8356	3.45951	28.2389
1.01274e-06	56.5732	53.8265	3.45934	28.2343
1.01298e-06	56.5705	53.8175	3.45917	28.2297
1.01321e-06	56.5678	53.8085	3.45899	28.2252
1.01344e-06	56.565	53.7994	3.45882	28.2206
1.01368e-06	56.5623	53.7904	3.45865	28.216
