x	xg	error+	error-	error
1e-06	15.3367	50.5269	1.168	25.6921
1.00023e-06	15.3361	50.5185	1.16796	25.6879
1.00046e-06	15.3356	50.5101	1.16793	25.6837
1.00069e-06	15.335	50.5016	1.16789	25.6795
1.00092e-06	15.3345	50.4932	1.16785	25.6753
1.00115e-06	15.3339	50.4848	1.16782	25.671
1.00138e-06	15.3334	50.4764	1.16778	25.6668
1.00161e-06	15.3328	50.4679	1.16774	25.6626
1.00184e-06	15.3323	50.4595	1.16771	25.6584
1.00207e-06	15.3317	50.4511	1.16767	25.6542
1.00231e-06	15.3312	50.4427	1.16763	25.6499
1.00254e-06	15.3307	50.4343	1.1676	25.6457
1.00277e-06	15.3301	50.4259	1.16756	25.6415
1.003e-06	15.3296	50.4175	1.16752	25.6373
1.00323e-06	15.329	50.409	1.16749	25.6331
1.00346e-06	15.3285	50.4006	1.16745	25.6289
1.00369e-06	15.3279	50.3922	1.16741	25.6246
1.00392e-06	15.3274	50.3838	1.16738	25.6204
1.00415e-06	15.3268	50.3754	1.16734	25.6162
1.00438e-06	15.3263	50.367	1.1673	25.612
1.00462e-06	15.3257	50.3586	1.16726	25.6078
1.00485e-06	15.3252	50.3502	1.16723	25.6036
1.00508e-06	15.3247	50.3418	1.16719	25.5994
1.00531e-06	15.3241	50.3334	1.16715	25.5952
1.00554e-06	15.3236	50.325	1.16712	25.591
1.00577e-06	15.323	50.3166	1.16708	25.5868
1.006e-06	15.3225	50.3082	1.16704	25.5825
1.00624e-06	15.3219	50.2998	1.16701	25.5783
1.00647e-06	15.3214	50.2914	1.16697	25.5741
1.0067e-06	15.3208	50.283	1.16693	25.5699
1.00693e-06	15.3203	50.2746	1.1669	25.5657
1.00716e-06	15.3198	50.2662	1.16686	25.5615
1.0074e-06	15.3192	50.2579	1.16682	25.5573
1.00763e-06	15.3187	50.2495	1.16679	25.5531
1.00786e-06	15.3181	50.2411	1.16675	25.5489
1.00809e-06	15.3176	50.2327	1.16671	25.5447
1.00832e-06	15.317	50.2243	1.16668	25.5405
1.00856e-06	15.3165	50.2159	1.16664	25.5363
1.00879e-06	15.3159	50.2075	1.1666	25.5321
1.00902e-06	15.3154	50.1992	1.16657	25.5279
1.00925e-06	15.3149	50.1908	1.16653	25.5237
1.00949e-06	15.3143	50.1824	1.16649	25.5195
1.00972e-06	15.3138	50.174	1.16646	25.5153
1.00995e-06	15.3132	50.1656	1.16642	25.5111
1.01018e-06	15.3127	50.1573	1.16638	25.5069
1.01042e-06	15.3121	50.1489	1.16635	25.5027
1.01065e-06	15.3116	50.1405	1.16631	25.4985
1.01088e-06	15.311	50.1322	1.16627	25.4943
1.01111e-06	15.3105	50.1238	1.16623	25.4901
1.01135e-06	15.3099	50.1154	1.1662	25.4859
1.01158e-06	15.3094	50.107	1.16616	25.4817
1.01181e-06	15.3089	50.0987	1.16612	25.4775
1.01205e-06	15.3083	50.0903	1.16609	25.4734
1.01228e-06	15.3078	50.082	1.16605	25.4692
1.01251e-06	15.3072	50.0736	1.16601	25.465
1.01274e-06	15.3067	50.0652	1.16598	25.4608
1.01298e-06	15.3061	50.0569	1.16594	25.4566
1.01321e-06	15.3056	50.0485	1.1659	25.4524
1.01344e-06	15.305	50.0401	1.16587	25.4482
1.01368e-06	15.3045	50.0318	1.16583	25.444
1.01391e-06	15.304	50.0234	1.16579	25.4398
1.01414e-06	15.3034	50.0151	1.16576	25.4357
1.01438e-06	15.3029	50.0067	1.16572	25.4315
1.01461e-06	15.3023	49.9984	1.16568	25.4273
1.01485e-06	15.3018	49.99	1.16565	25.4231
1.01508e-06	15.3012	49.9817	1.16561	25.4189
1.01531e-06	15.3007	49.9733	1.16557	25.4147
1.01555e-06	15.3001	49.965	1.16554	25.4105
