x	xg	error+	error-	error
1e-06	10.6174	15.5367	15.5367	15.5367
1.00023e-06	10.6172	15.5359	15.5359	15.5359
1.00046e-06	10.617	15.5352	15.5352	15.5352
1.00069e-06	10.6168	15.5344	15.5344	15.5344
1.00092e-06	10.6165	15.5337	15.5337	15.5337
1.00115e-06	10.6163	15.5329	15.5329	15.5329
1.00138e-06	10.6161	15.5321	15.5321	15.5321
1.00161e-06	10.6159	15.5314	15.5314	15.5314
1.00184e-06	10.6156	15.5306	15.5306	15.5306
1.00207e-06	10.6154	15.5298	15.5298	15.5298
1.00231e-06	10.6152	15.5291	15.5291	15.5291
1.00254e-06	10.615	15.5283	15.5283	15.5283
1.00277e-06	10.6147	15.5275	15.5275	15.5275
1.003e-06	10.6145	15.5268	15.5268	15.5268
1.00323e-06	10.6143	15.526	15.526	15.526
1.00346e-06	10.6141	15.5253	15.5253	15.5253
1.00369e-06	10.6138	15.5245	15.5245	15.5245
1.00392e-06	10.6136	15.5237	15.5237	15.5237
1.00415e-06	10.6134	15.523	15.523	15.523
1.00438e-06	10.6132	15.5222	15.5222	15.5222
1.00462e-06	10.6129	15.5214	15.5214	15.5214
1.00485e-06	10.6127	15.5207	15.5207	15.5207
1.00508e-06	10.6125	15.5199	15.5199	15.5199
1.00531e-06	10.6122	15.5192	15.5192	15.5192
1.00554e-06	10.612	15.5184	15.5184	15.5184
1.00577e-06	10.6118	15.5176	15.5176	15.5176
1.006e-06	10.6116	15.5169	15.5169	15.5169
1.00624e-06	10.6113	15.5161	15.5161	15.5161
1.00647e-06	10.6111	15.5153	15.5153	15.5153
1.0067e-06	10.6109	15.5146	15.5146	15.5146
1.00693e-06	10.6107	15.5138	15.5138	15.5138
1.00716e-06	10.6104	15.5131	15.5131	15.5131
1.0074e-06	10.6102	15.5123	15.5123	15.5123
1.00763e-06	10.61	15.5115	15.5115	15.5115
1.00786e-06	10.6098	15.5108	15.5108	15.5108
1.00809e-06	10.6095	15.51	15.51	15.51
1.00832e-06	10.6093	15.5092	15.5092	15.5092
1.00856e-06	10.6091	15.5085	15.5085	15.5085
1.00879e-06	10.6089	15.5077	15.5077	15.5077
1.00902e-06	10.6086	15.507	15.507	15.507
1.00925e-06	10.6084	15.5062	15.5062	15.5062
1.00949e-06	10.6082	15.5054	15.5054	15.5054
1.00972e-06	10.6079	15.5047	15.5047	15.5047
1.00995e-06	10.6077	15.5039	15.5039	15.5039
1.01018e-06	10.6075	15.5032	15.5032	15.5032
1.01042e-06	10.6073	15.5024	15.5024	15.5024
1.01065e-06	10.607	15.5016	15.5016	15.5016
1.01088e-06	10.6068	15.5009	15.5009	15.5009
1.01111e-06	10.6066	15.5001	15.5001	15.5001
1.01135e-06	10.6064	15.4993	15.4993	15.4993
