x	xg	error+	error-	error
1e-06	43.5581	23.1801	23.1801	23.1801
1.00023e-06	43.5563	23.1784	23.1784	23.1784
1.00046e-06	43.5545	23.1767	23.1767	23.1767
1.00069e-06	43.5527	23.175	23.175	23.175
1.00092e-06	43.5509	23.1733	23.1733	23.1733
1.00115e-06	43.5491	23.1716	23.1716	23.1716
1.00138e-06	43.5473	23.1699	23.1699	23.1699
1.00161e-06	43.5455	23.1682	23.1682	23.1682
1.00184e-06	43.5437	23.1665	23.1665	23.1665
1.00207e-06	43.5419	23.1648	23.1648	23.1648
1.00231e-06	43.5401	23.1632	23.1632	23.1632
1.00254e-06	43.5383	23.1615	23.1615	23.1615
1.00277e-06	43.5366	23.1598	23.1598	23.1598
1.003e-06	43.5348	23.1581	23.1581	23.1581
1.00323e-06	43.533	23.1564	23.1564	23.1564
1.00346e-06	43.5312	23.1547	23.1547	23.1547
1.00369e-06	43.5294	23.153	23.153	23.153
1.00392e-06	43.5276	23.1513	23.1513	23.1513
1.00415e-06	43.5258	23.1496	23.1496	23.1496
1.00438e-06	43.524	23.148	23.148	23.148
1.00462e-06	43.5222	23.1463	23.1463	23.1463
1.00485e-06	43.5204	23.1446	23.1446	23.1446
1.00508e-06	43.5186	23.1429	23.1429	23.1429
1.00531e-06	43.5168	23.1412	23.1412	23.1412
1.00554e-06	43.515	23.1395	23.1395	23.1395
1.00577e-06	43.5132	23.1378	23.1378	23.1378
1.006e-06	43.5114	23.1361	23.1361	23.1361
1.00624e-06	43.5096	23.1344	23.1344	23.1344
1.00647e-06	43.5078	23.1328	23.1328	23.1328
1.0067e-06	43.506	23.1311	23.1311	23.1311
1.00693e-06	43.5042	23.1294	23.1294	23.1294
1.00716e-06	43.5024	23.1277	23.1277	23.1277
1.0074e-06	43.5007	23.126	23.126	23.126
1.00763e-06	43.4989	23.1243	23.1243	23.1243
1.00786e-06	43.4971	23.1226	23.1226	23.1226
1.00809e-06	43.4953	23.1209	23.1209	23.1209
1.00832e-06	43.4935	23.1193	23.1193	23.1193
1.00856e-06	43.4917	23.1176	23.1176	23.1176
1.00879e-06	43.4899	23.1159	23.1159	23.1159
1.00902e-06	43.4881	23.1142	23.1142	23.1142
1.00925e-06	43.4863	23.1125	23.1125	23.1125
1.00949e-06	43.4845	23.1108	23.1108	23.1108
1.00972e-06	43.4827	23.1091	23.1091	23.1091
1.00995e-06	43.4809	23.1074	23.1074	23.1074
1.01018e-06	43.4791	23.1058	23.1058	23.1058
1.01042e-06	43.4773	23.1041	23.1041	23.1041
1.01065e-06	43.4755	23.1024	23.1024	23.1024
1.01088e-06	43.4737	23.1007	23.1007	23.1007
1.01111e-06	43.472	23.099	23.099	23.099
1.01135e-06	43.4702	23.0973	23.0973	23.0973
1.01158e-06	43.4684	23.0956	23.0956	23.0956
1.01181e-06	43.4666	23.094	23.094	23.094
1.01205e-06	43.4648	23.0923	23.0923	23.0923
1.01228e-06	43.463	23.0906	23.0906	23.0906
1.01251e-06	43.4612	23.0889	23.0889	23.0889
1.01274e-06	43.4594	23.0872	23.0872	23.0872
1.01298e-06	43.4576	23.0855	23.0855	23.0855
1.01321e-06	43.4558	23.0838	23.0838	23.0838
1.01344e-06	43.454	23.0822	23.0822	23.0822
1.01368e-06	43.4522	23.0805	23.0805	23.0805
1.01391e-06	43.4504	23.0788	23.0788	23.0788
1.01414e-06	43.4486	23.0771	23.0771	23.0771
1.01438e-06	43.4468	23.0754	23.0754	23.0754
1.01461e-06	43.4451	23.0737	23.0737	23.0737
1.01485e-06	43.4433	23.072	23.072	23.072
1.01508e-06	43.4415	23.0704	23.0704	23.0704
1.01531e-06	43.4397	23.0687	23.0687	23.0687
1.01555e-06	43.4379	23.067	23.067	23.067
1.01578e-06	43.4361	23.0653	23.0653	23.0653
1.01601e-06	43.4343	23.0636	23.0636	23.0636
1.01625e-06	43.4325	23.0619	23.0619	23.0619
1.01648e-06	43.4307	23.0603	23.0603	23.0603
1.01672e-06	43.4289	23.0586	23.0586	23.0586
1.01695e-06	43.4271	23.0569	23.0569	23.0569
1.01719e-06	43.4253	23.0552	23.0552	23.0552
1.01742e-06	43.4235	23.0535	23.0535	23.0535
1.01765e-06	43.4218	23.0518	23.0518	23.0518
1.01789e-06	43.42	23.0502	23.0502	23.0502
1.01812e-06	43.4182	23.0485	23.0485	23.0485
1.01836e-06	43.4164	23.0468	23.0468	23.0468
1.01859e-06	43.4146	23.0451	23.0451	23.0451
1.01883e-06	43.4128	23.0434	23.0434	23.0434
