x	xg	error+	error-	error
1e-06	16.6196	17.4848	17.4848	17.4848
1.00023e-06	16.6192	17.4838	17.4838	17.4838
1.00046e-06	16.6187	17.4828	17.4828	17.4828
1.00069e-06	16.6182	17.4819	17.4819	17.4819
1.00092e-06	16.6177	17.4809	17.4809	17.4809
1.00115e-06	16.6173	17.4799	17.4799	17.4799
1.00138e-06	16.6168	17.479	17.479	17.479
1.00161e-06	16.6163	17.478	17.478	17.478
1.00184e-06	16.6158	17.477	17.477	17.477
1.00207e-06	16.6154	17.476	17.476	17.476
1.00231e-06	16.6149	17.4751	17.4751	17.4751
1.00254e-06	16.6144	17.4741	17.4741	17.4741
1.00277e-06	16.6139	17.4731	17.4731	17.4731
1.003e-06	16.6134	17.4722	17.4722	17.4722
1.00323e-06	16.613	17.4712	17.4712	17.4712
1.00346e-06	16.6125	17.4702	17.4702	17.4702
1.00369e-06	16.612	17.4692	17.4692	17.4692
1.00392e-06	16.6115	17.4683	17.4683	17.4683
1.00415e-06	16.6111	17.4673	17.4673	17.4673
1.00438e-06	16.6106	17.4663	17.4663	17.4663
1.00462e-06	16.6101	17.4654	17.4654	17.4654
1.00485e-06	16.6096	17.4644	17.4644	17.4644
1.00508e-06	16.6092	17.4634	17.4634	17.4634
1.00531e-06	16.6087	17.4625	17.4625	17.4625
1.00554e-06	16.6082	17.4615	17.4615	17.4615
1.00577e-06	16.6077	17.4605	17.4605	17.4605
1.006e-06	16.6072	17.4595	17.4595	17.4595
1.00624e-06	16.6068	17.4586	17.4586	17.4586
1.00647e-06	16.6063	17.4576	17.4576	17.4576
1.0067e-06	16.6058	17.4566	17.4566	17.4566
1.00693e-06	16.6053	17.4557	17.4557	17.4557
1.00716e-06	16.6049	17.4547	17.4547	17.4547
1.0074e-06	16.6044	17.4537	17.4537	17.4537
1.00763e-06	16.6039	17.4528	17.4528	17.4528
1.00786e-06	16.6034	17.4518	17.4518	17.4518
1.00809e-06	16.603	17.4508	17.4508	17.4508
1.00832e-06	16.6025	17.4498	17.4498	17.4498
1.00856e-06	16.602	17.4489	17.4489	17.4489
1.00879e-06	16.6015	17.4479	17.4479	17.4479
1.00902e-06	16.601	17.4469	17.4469	17.4469
1.00925e-06	16.6006	17.446	17.446	17.446
1.00949e-06	16.6001	17.445	17.445	17.445
1.00972e-06	16.5996	17.444	17.444	17.444
1.00995e-06	16.5991	17.4431	17.4431	17.4431
1.01018e-06	16.5987	17.4421	17.4421	17.4421
1.01042e-06	16.5982	17.4411	17.4411	17.4411
1.01065e-06	16.5977	17.4402	17.4402	17.4402
1.01088e-06	16.5972	17.4392	17.4392	17.4392
1.01111e-06	16.5968	17.4382	17.4382	17.4382
1.01135e-06	16.5963	17.4372	17.4372	17.4372
1.01158e-06	16.5958	17.4363	17.4363	17.4363
1.01181e-06	16.5953	17.4353	17.4353	17.4353
1.01205e-06	16.5949	17.4343	17.4343	17.4343
1.01228e-06	16.5944	17.4334	17.4334	17.4334
1.01251e-06	16.5939	17.4324	17.4324	17.4324
1.01274e-06	16.5934	17.4314	17.4314	17.4314
1.01298e-06	16.5929	17.4305	17.4305	17.4305
1.01321e-06	16.5925	17.4295	17.4295	17.4295
1.01344e-06	16.592	17.4285	17.4285	17.4285
1.01368e-06	16.5915	17.4276	17.4276	17.4276
1.01391e-06	16.591	17.4266	17.4266	17.4266
1.01414e-06	16.5906	17.4256	17.4256	17.4256
1.01438e-06	16.5901	17.4247	17.4247	17.4247
1.01461e-06	16.5896	17.4237	17.4237	17.4237
1.01485e-06	16.5891	17.4227	17.4227	17.4227
1.01508e-06	16.5887	17.4218	17.4218	17.4218
1.01531e-06	16.5882	17.4208	17.4208	17.4208
1.01555e-06	16.5877	17.4198	17.4198	17.4198
1.01578e-06	16.5872	17.4189	17.4189	17.4189
1.01601e-06	16.5867	17.4179	17.4179	17.4179
1.01625e-06	16.5863	17.4169	17.4169	17.4169
1.01648e-06	16.5858	17.4159	17.4159	17.4159
1.01672e-06	16.5853	17.415	17.415	17.415
1.01695e-06	16.5848	17.414	17.414	17.414
1.01719e-06	16.5844	17.413	17.413	17.413
1.01742e-06	16.5839	17.4121	17.4121	17.4121
1.01765e-06	16.5834	17.4111	17.4111	17.4111
1.01789e-06	16.5829	17.4101	17.4101	17.4101
1.01812e-06	16.5825	17.4092	17.4092	17.4092
1.01836e-06	16.582	17.4082	17.4082	17.4082
1.01859e-06	16.5815	17.4072	17.4072	17.4072
1.01883e-06	16.581	17.4063	17.4063	17.4063
1.01906e-06	16.5806	17.4053	17.4053	17.4053
1.0193e-06	16.5801	17.4043	17.4043	17.4043
1.01953e-06	16.5796	17.4034	17.4034	17.4034
1.01976e-06	16.5791	17.4024	17.4024	17.4024
1.02e-06	16.5786	17.4014	17.4014	17.4014
1.02023e-06	16.5782	17.4005	17.4005	17.4005
1.02047e-06	16.5777	17.3995	17.3995	17.3995
1.0207e-06	16.5772	17.3986	17.3986	17.3986
1.02094e-06	16.5767	17.3976	17.3976	17.3976
1.02117e-06	16.5763	17.3966	17.3966	17.3966
1.02141e-06	16.5758	17.3957	17.3957	17.3957
1.02164e-06	16.5753	17.3947	17.3947	17.3947
1.02188e-06	16.5748	17.3937	17.3937	17.3937
1.02212e-06	16.5744	17.3928	17.3928	17.3928
1.02235e-06	16.5739	17.3918	17.3918	17.3918
1.02259e-06	16.5734	17.3908	17.3908	17.3908
1.02282e-06	16.5729	17.3899	17.3899	17.3899
1.02306e-06	16.5725	17.3889	17.3889	17.3889
1.02329e-06	16.572	17.3879	17.3879	17.3879
1.02353e-06	16.5715	17.387	17.387	17.387
1.02376e-06	16.571	17.386	17.386	17.386
1.024e-06	16.5705	17.385	17.385	17.385
1.02424e-06	16.5701	17.3841	17.3841	17.3841
1.02447e-06	16.5696	17.3831	17.3831	17.3831
1.02471e-06	16.5691	17.3821	17.3821	17.3821
1.02494e-06	16.5686	17.3812	17.3812	17.3812
1.02518e-06	16.5682	17.3802	17.3802	17.3802
1.02542e-06	16.5677	17.3793	17.3793	17.3793
1.02565e-06	16.5672	17.3783	17.3783	17.3783
1.02589e-06	16.5667	17.3773	17.3773	17.3773
1.02612e-06	16.5663	17.3764	17.3764	17.3764
1.02636e-06	16.5658	17.3754	17.3754	17.3754
1.0266e-06	16.5653	17.3744	17.3744	17.3744
1.02683e-06	16.5648	17.3735	17.3735	17.3735
1.02707e-06	16.5644	17.3725	17.3725	17.3725
1.02731e-06	16.5639	17.3715	17.3715	17.3715
1.02754e-06	16.5634	17.3706	17.3706	17.3706
1.02778e-06	16.5629	17.3696	17.3696	17.3696
1.02802e-06	16.5625	17.3687	17.3687	17.3687
1.02825e-06	16.562	17.3677	17.3677	17.3677
1.02849e-06	16.5615	17.3667	17.3667	17.3667
1.02873e-06	16.561	17.3658	17.3658	17.3658
1.02896e-06	16.5605	17.3648	17.3648	17.3648
1.0292e-06	16.5601	17.3638	17.3638	17.3638
1.02944e-06	16.5596	17.3629	17.3629	17.3629
1.02967e-06	16.5591	17.3619	17.3619	17.3619
1.02991e-06	16.5586	17.3609	17.3609	17.3609
1.03015e-06	16.5582	17.36	17.36	17.36
1.03039e-06	16.5577	17.359	17.359	17.359
1.03062e-06	16.5572	17.3581	17.3581	17.3581
1.03086e-06	16.5567	17.3571	17.3571	17.3571
1.0311e-06	16.5563	17.3561	17.3561	17.3561
1.03134e-06	16.5558	17.3552	17.3552	17.3552
1.03157e-06	16.5553	17.3542	17.3542	17.3542
1.03181e-06	16.5548	17.3532	17.3532	17.3532
1.03205e-06	16.5544	17.3523	17.3523	17.3523
1.03229e-06	16.5539	17.3513	17.3513	17.3513
1.03252e-06	16.5534	17.3504	17.3504	17.3504
1.03276e-06	16.5529	17.3494	17.3494	17.3494
1.033e-06	16.5525	17.3484	17.3484	17.3484
1.03324e-06	16.552	17.3475	17.3475	17.3475
1.03348e-06	16.5515	17.3465	17.3465	17.3465
1.03371e-06	16.551	17.3456	17.3456	17.3456
1.03395e-06	16.5505	17.3446	17.3446	17.3446
1.03419e-06	16.5501	17.3436	17.3436	17.3436
1.03443e-06	16.5496	17.3427	17.3427	17.3427
1.03467e-06	16.5491	17.3417	17.3417	17.3417
1.0349e-06	16.5486	17.3407	17.3407	17.3407
1.03514e-06	16.5482	17.3398	17.3398	17.3398
1.03538e-06	16.5477	17.3388	17.3388	17.3388
1.03562e-06	16.5472	17.3379	17.3379	17.3379
1.03586e-06	16.5467	17.3369	17.3369	17.3369
1.0361e-06	16.5463	17.3359	17.3359	17.3359
1.03633e-06	16.5458	17.335	17.335	17.335
1.03657e-06	16.5453	17.334	17.334	17.334
1.03681e-06	16.5448	17.3331	17.3331	17.3331
1.03705e-06	16.5444	17.3321	17.3321	17.3321
1.03729e-06	16.5439	17.3311	17.3311	17.3311
1.03753e-06	16.5434	17.3302	17.3302	17.3302
1.03777e-06	16.5429	17.3292	17.3292	17.3292
1.03801e-06	16.5425	17.3283	17.3283	17.3283
1.03825e-06	16.542	17.3273	17.3273	17.3273
1.03848e-06	16.5415	17.3263	17.3263	17.3263
1.03872e-06	16.541	17.3254	17.3254	17.3254
1.03896e-06	16.5406	17.3244	17.3244	17.3244
1.0392e-06	16.5401	17.3235	17.3235	17.3235
1.03944e-06	16.5396	17.3225	17.3225	17.3225
1.03968e-06	16.5391	17.3215	17.3215	17.3215
1.03992e-06	16.5386	17.3206	17.3206	17.3206
1.04016e-06	16.5382	17.3196	17.3196	17.3196
1.0404e-06	16.5377	17.3187	17.3187	17.3187
1.04064e-06	16.5372	17.3177	17.3177	17.3177
1.04088e-06	16.5367	17.3167	17.3167	17.3167
1.04112e-06	16.5363	17.3158	17.3158	17.3158
1.04136e-06	16.5358	17.3148	17.3148	17.3148
1.0416e-06	16.5353	17.3139	17.3139	17.3139
1.04184e-06	16.5348	17.3129	17.3129	17.3129
1.04208e-06	16.5344	17.3119	17.3119	17.3119
1.04232e-06	16.5339	17.311	17.311	17.311
1.04256e-06	16.5334	17.31	17.31	17.31
1.0428e-06	16.5329	17.3091	17.3091	17.3091
1.04304e-06	16.5325	17.3081	17.3081	17.3081
1.04328e-06	16.532	17.3072	17.3072	17.3072
1.04352e-06	16.5315	17.3062	17.3062	17.3062
1.04376e-06	16.531	17.3052	17.3052	17.3052
1.044e-06	16.5306	17.3043	17.3043	17.3043
1.04424e-06	16.5301	17.3033	17.3033	17.3033
1.04448e-06	16.5296	17.3024	17.3024	17.3024
1.04472e-06	16.5291	17.3014	17.3014	17.3014
1.04496e-06	16.5287	17.3004	17.3004	17.3004
1.0452e-06	16.5282	17.2995	17.2995	17.2995
1.04544e-06	16.5277	17.2985	17.2985	17.2985
