x	xg	error+	error-	error
1e-06	129.326	57.3709	6.68584	31.3165
1.00023e-06	129.318	57.3613	6.68541	31.3116
1.00046e-06	129.311	57.3516	6.68499	31.3066
1.00069e-06	129.303	57.3419	6.68456	31.3016
1.00092e-06	129.296	57.3323	6.68414	31.2966
1.00115e-06	129.288	57.3226	6.68372	31.2917
1.00138e-06	129.281	57.313	6.68329	31.2867
1.00161e-06	129.273	57.3033	6.68287	31.2817
1.00184e-06	129.266	57.2937	6.68244	31.2768
1.00207e-06	129.258	57.284	6.68202	31.2718
1.00231e-06	129.251	57.2744	6.68159	31.2669
1.00254e-06	129.243	57.2648	6.68117	31.2619
1.00277e-06	129.236	57.2551	6.68074	31.2569
1.003e-06	129.228	57.2455	6.68032	31.252
1.00323e-06	129.221	57.2358	6.67989	31.247
1.00346e-06	129.213	57.2262	6.67947	31.242
1.00369e-06	129.206	57.2166	6.67904	31.2371
1.00392e-06	129.198	57.2069	6.67862	31.2321
1.00415e-06	129.191	57.1973	6.67819	31.2272
1.00438e-06	129.183	57.1877	6.67777	31.2222
1.00462e-06	129.176	57.178	6.67734	31.2173
1.00485e-06	129.169	57.1684	6.67692	31.2123
1.00508e-06	129.161	57.1588	6.67649	31.2073
1.00531e-06	129.154	57.1491	6.67607	31.2024
1.00554e-06	129.146	57.1395	6.67565	31.1974
1.00577e-06	129.139	57.1299	6.67522	31.1925
1.006e-06	129.131	57.1203	6.6748	31.1875
1.00624e-06	129.124	57.1106	6.67437	31.1826
1.00647e-06	129.116	57.101	6.67395	31.1776
1.0067e-06	129.109	57.0914	6.67352	31.1727
1.00693e-06	129.101	57.0818	6.6731	31.1677
1.00716e-06	129.094	57.0722	6.67267	31.1628
1.0074e-06	129.086	57.0625	6.67225	31.1578
1.00763e-06	129.079	57.0529	6.67183	31.1529
1.00786e-06	129.071	57.0433	6.6714	31.1479
1.00809e-06	129.064	57.0337	6.67098	31.143
1.00832e-06	129.056	57.0241	6.67055	31.138
1.00856e-06	129.049	57.0145	6.67013	31.1331
1.00879e-06	129.041	57.0049	6.6697	31.1281
1.00902e-06	129.034	56.9953	6.66928	31.1232
1.00925e-06	129.026	56.9857	6.66886	31.1183
1.00949e-06	129.019	56.9761	6.66843	31.1133
1.00972e-06	129.012	56.9665	6.66801	31.1084
1.00995e-06	129.004	56.9569	6.66758	31.1034
1.01018e-06	128.997	56.9473	6.66716	31.0985
1.01042e-06	128.989	56.9377	6.66674	31.0936
1.01065e-06	128.982	56.9281	6.66631	31.0886
1.01088e-06	128.974	56.9185	6.66589	31.0837
1.01111e-06	128.967	56.9089	6.66546	31.0787
1.01135e-06	128.959	56.8993	6.66504	31.0738
1.01158e-06	128.952	56.8897	6.66462	31.0689
1.01181e-06	128.944	56.8801	6.66419	31.0639
1.01205e-06	128.937	56.8705	6.66377	31.059
1.01228e-06	128.929	56.8609	6.66334	31.0541
1.01251e-06	128.922	56.8514	6.66292	31.0491
1.01274e-06	128.914	56.8418	6.6625	31.0442
1.01298e-06	128.907	56.8322	6.66207	31.0393
1.01321e-06	128.899	56.8226	6.66165	31.0343
1.01344e-06	128.892	56.813	6.66122	31.0294
1.01368e-06	128.885	56.8035	6.6608	31.0245
1.01391e-06	128.877	56.7939	6.66038	31.0196
1.01414e-06	128.87	56.7843	6.65995	31.0146
1.01438e-06	128.862	56.7747	6.65953	31.0097
1.01461e-06	128.855	56.7652	6.65911	31.0048
1.01485e-06	128.847	56.7556	6.65868	30.9998
1.01508e-06	128.84	56.746	6.65826	30.9949
1.01531e-06	128.832	56.7365	6.65783	30.99
1.01555e-06	128.825	56.7269	6.65741	30.9851
1.01578e-06	128.817	56.7173	6.65699	30.9801
1.01601e-06	128.81	56.7078	6.65656	30.9752
1.01625e-06	128.802	56.6982	6.65614	30.9703
1.01648e-06	128.795	56.6886	6.65572	30.9654
1.01672e-06	128.788	56.6791	6.65529	30.9605
1.01695e-06	128.78	56.6695	6.65487	30.9555
1.01719e-06	128.773	56.66	6.65445	30.9506
1.01742e-06	128.765	56.6504	6.65402	30.9457
1.01765e-06	128.758	56.6409	6.6536	30.9408
1.01789e-06	128.75	56.6313	6.65318	30.9359
1.01812e-06	128.743	56.6218	6.65275	30.931
1.01836e-06	128.735	56.6122	6.65233	30.926
1.01859e-06	128.728	56.6027	6.6519	30.9211
1.01883e-06	128.72	56.5931	6.65148	30.9162
1.01906e-06	128.713	56.5836	6.65106	30.9113
1.0193e-06	128.706	56.5741	6.65064	30.9064
1.01953e-06	128.698	56.5645	6.65021	30.9015
1.01976e-06	128.691	56.555	6.64979	30.8966
1.02e-06	128.683	56.5454	6.64937	30.8917
1.02023e-06	128.676	56.5359	6.64894	30.8868
1.02047e-06	128.668	56.5264	6.64852	30.8819
1.0207e-06	128.661	56.5169	6.6481	30.877
1.02094e-06	128.653	56.5073	6.64767	30.8721
1.02117e-06	128.646	56.4978	6.64725	30.8672
1.02141e-06	128.638	56.4883	6.64683	30.8623
1.02164e-06	128.631	56.4788	6.6464	30.8574
1.02188e-06	128.624	56.4692	6.64598	30.8525
1.02212e-06	128.616	56.4597	6.64556	30.8476
1.02235e-06	128.609	56.4502	6.64513	30.8427
1.02259e-06	128.601	56.4407	6.64471	30.8378
1.02282e-06	128.594	56.4312	6.64429	30.8329
1.02306e-06	128.586	56.4217	6.64387	30.828
1.02329e-06	128.579	56.4122	6.64344	30.8231
1.02353e-06	128.571	56.4027	6.64302	30.8182
1.02376e-06	128.564	56.3932	6.6426	30.8133
1.024e-06	128.556	56.3837	6.64217	30.8084
1.02424e-06	128.549	56.3742	6.64175	30.8035
1.02447e-06	128.542	56.3647	6.64133	30.7986
1.02471e-06	128.534	56.3552	6.64091	30.7937
1.02494e-06	128.527	56.3457	6.64048	30.7888
1.02518e-06	128.519	56.3362	6.64006	30.784
1.02542e-06	128.512	56.3267	6.63964	30.7791
1.02565e-06	128.504	56.3172	6.63921	30.7742
1.02589e-06	128.497	56.3077	6.63879	30.7693
1.02612e-06	128.489	56.2982	6.63837	30.7644
1.02636e-06	128.482	56.2887	6.63795	30.7595
1.0266e-06	128.475	56.2792	6.63752	30.7546
1.02683e-06	128.467	56.2698	6.6371	30.7498
1.02707e-06	128.46	56.2603	6.63668	30.7449
1.02731e-06	128.452	56.2508	6.63626	30.74
1.02754e-06	128.445	56.2413	6.63583	30.7351
1.02778e-06	128.437	56.2319	6.63541	30.7302
1.02802e-06	128.43	56.2224	6.63499	30.7254
1.02825e-06	128.422	56.2129	6.63457	30.7205
1.02849e-06	128.415	56.2034	6.63414	30.7156
1.02873e-06	128.408	56.194	6.63372	30.7107
1.02896e-06	128.4	56.1845	6.6333	30.7059
1.0292e-06	128.393	56.1751	6.63288	30.701
1.02944e-06	128.385	56.1656	6.63245	30.6961
1.02967e-06	128.378	56.1561	6.63203	30.6913
1.02991e-06	128.37	56.1467	6.63161	30.6864
1.03015e-06	128.363	56.1372	6.63119	30.6815
1.03039e-06	128.355	56.1278	6.63076	30.6767
1.03062e-06	128.348	56.1183	6.63034	30.6718
1.03086e-06	128.341	56.1089	6.62992	30.6669
1.0311e-06	128.333	56.0994	6.6295	30.6621
1.03134e-06	128.326	56.09	6.62908	30.6572
1.03157e-06	128.318	56.0805	6.62865	30.6523
1.03181e-06	128.311	56.0711	6.62823	30.6475
1.03205e-06	128.303	56.0616	6.62781	30.6426
1.03229e-06	128.296	56.0522	6.62739	30.6377
1.03252e-06	128.289	56.0428	6.62696	30.6329
1.03276e-06	128.281	56.0333	6.62654	30.628
1.033e-06	128.274	56.0239	6.62612	30.6232
1.03324e-06	128.266	56.0144	6.6257	30.6183
1.03348e-06	128.259	56.005	6.62528	30.6135
1.03371e-06	128.251	55.9956	6.62485	30.6086
1.03395e-06	128.244	55.9862	6.62443	30.6038
1.03419e-06	128.237	55.9767	6.62401	30.5989
1.03443e-06	128.229	55.9673	6.62359	30.594
1.03467e-06	128.222	55.9579	6.62317	30.5892
1.0349e-06	128.214	55.9485	6.62275	30.5843
1.03514e-06	128.207	55.939	6.62232	30.5795
1.03538e-06	128.199	55.9296	6.6219	30.5746
1.03562e-06	128.192	55.9202	6.62148	30.5698
1.03586e-06	128.185	55.9108	6.62106	30.5649
1.0361e-06	128.177	55.9014	6.62064	30.5601
1.03633e-06	128.17	55.892	6.62021	30.5553
1.03657e-06	128.162	55.8826	6.61979	30.5504
1.03681e-06	128.155	55.8732	6.61937	30.5456
1.03705e-06	128.147	55.8638	6.61895	30.5407
1.03729e-06	128.14	55.8543	6.61853	30.5359
1.03753e-06	128.133	55.8449	6.61811	30.531
1.03777e-06	128.125	55.8355	6.61768	30.5262
1.03801e-06	128.118	55.8261	6.61726	30.5214
1.03825e-06	128.11	55.8168	6.61684	30.5165
1.03848e-06	128.103	55.8074	6.61642	30.5117
1.03872e-06	128.095	55.798	6.616	30.5069
1.03896e-06	128.088	55.7886	6.61558	30.502
1.0392e-06	128.081	55.7792	6.61516	30.4972
1.03944e-06	128.073	55.7698	6.61473	30.4923
1.03968e-06	128.066	55.7604	6.61431	30.4875
1.03992e-06	128.058	55.751	6.61389	30.4827
1.04016e-06	128.051	55.7416	6.61347	30.4779
1.0404e-06	128.043	55.7323	6.61305	30.473
1.04064e-06	128.036	55.7229	6.61263	30.4682
1.04088e-06	128.029	55.7135	6.61221	30.4634
1.04112e-06	128.021	55.7041	6.61178	30.4585
1.04136e-06	128.014	55.6948	6.61136	30.4537
1.0416e-06	128.006	55.6854	6.61094	30.4489
1.04184e-06	127.999	55.676	6.61052	30.4441
1.04208e-06	127.991	55.6666	6.6101	30.4392
1.04232e-06	127.984	55.6573	6.60968	30.4344
1.04256e-06	127.977	55.6479	6.60926	30.4296
1.0428e-06	127.969	55.6385	6.60884	30.4248
1.04304e-06	127.962	55.6292	6.60841	30.4199
1.04328e-06	127.954	55.6198	6.60799	30.4151
1.04352e-06	127.947	55.6105	6.60757	30.4103
1.04376e-06	127.94	55.6011	6.60715	30.4055
1.044e-06	127.932	55.5918	6.60673	30.4007
1.04424e-06	127.925	55.5824	6.60631	30.3959
1.04448e-06	127.917	55.5731	6.60589	30.391
1.04472e-06	127.91	55.5637	6.60547	30.3862
1.04496e-06	127.902	55.5544	6.60505	30.3814
1.0452e-06	127.895	55.545	6.60463	30.3766
1.04544e-06	127.888	55.5357	6.6042	30.3718
1.04568e-06	127.88	55.5263	6.60378	30.367
1.04592e-06	127.873	55.517	6.60336	30.3622
1.04616e-06	127.865	55.5076	6.60294	30.3574
1.04641e-06	127.858	55.4983	6.60252	30.3525
1.04665e-06	127.851	55.489	6.6021	30.3477
1.04689e-06	127.843	55.4796	6.60168	30.3429
1.04713e-06	127.836	55.4703	6.60126	30.3381
1.04737e-06	127.828	55.461	6.60084	30.3333
1.04761e-06	127.821	55.4516	6.60042	30.3285
1.04785e-06	127.814	55.4423	6.6	30.3237
1.04809e-06	127.806	55.433	6.59958	30.3189
1.04833e-06	127.799	55.4237	6.59916	30.3141
1.04858e-06	127.791	55.4143	6.59873	30.3093
1.04882e-06	127.784	55.405	6.59831	30.3045
1.04906e-06	127.777	55.3957	6.59789	30.2997
1.0493e-06	127.769	55.3864	6.59747	30.2949
1.04954e-06	127.762	55.3771	6.59705	30.2901
1.04978e-06	127.754	55.3678	6.59663	30.2853
1.05003e-06	127.747	55.3584	6.59621	30.2805
1.05027e-06	127.739	55.3491	6.59579	30.2757
1.05051e-06	127.732	55.3398	6.59537	30.2709
1.05075e-06	127.725	55.3305	6.59495	30.2661
1.05099e-06	127.717	55.3212	6.59453	30.2613
1.05124e-06	127.71	55.3119	6.59411	30.2565
1.05148e-06	127.702	55.3026	6.59369	30.2518
1.05172e-06	127.695	55.2933	6.59327	30.247
1.05196e-06	127.688	55.284	6.59285	30.2422
1.0522e-06	127.68	55.2747	6.59243	30.2374
1.05245e-06	127.673	55.2654	6.59201	30.2326
1.05269e-06	127.665	55.2561	6.59159	30.2278
1.05293e-06	127.658	55.2468	6.59117	30.223
1.05317e-06	127.651	55.2375	6.59075	30.2182
1.05342e-06	127.643	55.2283	6.59033	30.2135
1.05366e-06	127.636	55.219	6.58991	30.2087
1.0539e-06	127.628	55.2097	6.58949	30.2039
1.05414e-06	127.621	55.2004	6.58907	30.1991
1.05439e-06	127.614	55.1911	6.58865	30.1943
1.05463e-06	127.606	55.1818	6.58823	30.1896
1.05487e-06	127.599	55.1726	6.58781	30.1848
1.05512e-06	127.591	55.1633	6.58739	30.18
1.05536e-06	127.584	55.154	6.58697	30.1752
1.0556e-06	127.577	55.1447	6.58655	30.1704
1.05584e-06	127.569	55.1355	6.58613	30.1657
1.05609e-06	127.562	55.1262	6.58571	30.1609
1.05633e-06	127.554	55.1169	6.58529	30.1561
1.05657e-06	127.547	55.1077	6.58487	30.1514
1.05682e-06	127.54	55.0984	6.58445	30.1466
1.05706e-06	127.532	55.0891	6.58403	30.1418
1.0573e-06	127.525	55.0799	6.58361	30.137
1.05755e-06	127.517	55.0706	6.58319	30.1323
1.05779e-06	127.51	55.0614	6.58277	30.1275
1.05803e-06	127.503	55.0521	6.58235	30.1227
1.05828e-06	127.495	55.0428	6.58193	30.118
1.05852e-06	127.488	55.0336	6.58151	30.1132
1.05877e-06	127.48	55.0243	6.58109	30.1084
1.05901e-06	127.473	55.0151	6.58067	30.1037
1.05925e-06	127.466	55.0058	6.58025	30.0989
1.0595e-06	127.458	54.9966	6.57983	30.0941
1.05974e-06	127.451	54.9874	6.57941	30.0894
1.05999e-06	127.444	54.9781	6.57899	30.0846
1.06023e-06	127.436	54.9689	6.57857	30.0799
1.06047e-06	127.429	54.9596	6.57815	30.0751
1.06072e-06	127.421	54.9504	6.57773	30.0703
1.06096e-06	127.414	54.9412	6.57731	30.0656
1.06121e-06	127.407	54.9319	6.57689	30.0608
1.06145e-06	127.399	54.9227	6.57647	30.0561
1.0617e-06	127.392	54.9135	6.57605	30.0513
1.06194e-06	127.384	54.9042	6.57563	30.0466
1.06218e-06	127.377	54.895	6.57522	30.0418
1.06243e-06	127.37	54.8858	6.5748	30.0371
1.06267e-06	127.362	54.8766	6.57438	30.0323
1.06292e-06	127.355	54.8673	6.57396	30.0276
1.06316e-06	127.347	54.8581	6.57354	30.0228
1.06341e-06	127.34	54.8489	6.57312	30.0181
1.06365e-06	127.333	54.8397	6.5727	30.0133
1.0639e-06	127.325	54.8305	6.57228	30.0086
1.06414e-06	127.318	54.8212	6.57186	30.0038
1.06439e-06	127.311	54.812	6.57144	29.9991
1.06463e-06	127.303	54.8028	6.57102	29.9943
1.06488e-06	127.296	54.7936	6.5706	29.9896
1.06512e-06	127.288	54.7844	6.57018	29.9848
1.06537e-06	127.281	54.7752	6.56977	29.9801
1.06561e-06	127.274	54.766	6.56935	29.9754
1.06586e-06	127.266	54.7568	6.56893	29.9706
1.06611e-06	127.259	54.7476	6.56851	29.9659
1.06635e-06	127.252	54.7384	6.56809	29.9611
1.0666e-06	127.244	54.7292	6.56767	29.9564
1.06684e-06	127.237	54.72	6.56725	29.9517
1.06709e-06	127.229	54.7108	6.56683	29.9469
1.06733e-06	127.222	54.7016	6.56641	29.9422
1.06758e-06	127.215	54.6924	6.56599	29.9375
1.06782e-06	127.207	54.6832	6.56558	29.9327
1.06807e-06	127.2	54.674	6.56516	29.928
1.06832e-06	127.192	54.6649	6.56474	29.9233
1.06856e-06	127.185	54.6557	6.56432	29.9185
1.06881e-06	127.178	54.6465	6.5639	29.9138
1.06905e-06	127.17	54.6373	6.56348	29.9091
1.0693e-06	127.163	54.6281	6.56306	29.9043
1.06955e-06	127.156	54.619	6.56264	29.8996
1.06979e-06	127.148	54.6098	6.56223	29.8949
1.07004e-06	127.141	54.6006	6.56181	29.8902
1.07029e-06	127.133	54.5914	6.56139	29.8854
1.07053e-06	127.126	54.5823	6.56097	29.8807
1.07078e-06	127.119	54.5731	6.56055	29.876
1.07103e-06	127.111	54.5639	6.56013	29.8713
1.07127e-06	127.104	54.5548	6.55971	29.8665
1.07152e-06	127.097	54.5456	6.55929	29.8618
1.07177e-06	127.089	54.5364	6.55888	29.8571
1.07201e-06	127.082	54.5273	6.55846	29.8524
1.07226e-06	127.074	54.5181	6.55804	29.8477
1.07251e-06	127.067	54.5089	6.55762	29.8429
1.07275e-06	127.06	54.4998	6.5572	29.8382
1.073e-06	127.052	54.4906	6.55678	29.8335
1.07325e-06	127.045	54.4815	6.55637	29.8288
1.07349e-06	127.038	54.4723	6.55595	29.8241
1.07374e-06	127.03	54.4632	6.55553	29.8194
1.07399e-06	127.023	54.454	6.55511	29.8146
1.07424e-06	127.016	54.4449	6.55469	29.8099
1.07448e-06	127.008	54.4357	6.55427	29.8052
1.07473e-06	127.001	54.4266	6.55386	29.8005
1.07498e-06	126.993	54.4175	6.55344	29.7958
1.07523e-06	126.986	54.4083	6.55302	29.7911
1.07547e-06	126.979	54.3992	6.5526	29.7864
1.07572e-06	126.971	54.39	6.55218	29.7817
1.07597e-06	126.964	54.3809	6.55176	29.777
1.07622e-06	126.957	54.3718	6.55135	29.7723
1.07647e-06	126.949	54.3626	6.55093	29.7676
1.07671e-06	126.942	54.3535	6.55051	29.7628
1.07696e-06	126.934	54.3444	6.55009	29.7581
1.07721e-06	126.927	54.3353	6.54967	29.7534
1.07746e-06	126.92	54.3261	6.54926	29.7487
1.07771e-06	126.912	54.317	6.54884	29.744
1.07795e-06	126.905	54.3079	6.54842	29.7393
1.0782e-06	126.898	54.2988	6.548	29.7346
1.07845e-06	126.89	54.2896	6.54758	29.7299
1.0787e-06	126.883	54.2805	6.54717	29.7252
1.07895e-06	126.876	54.2714	6.54675	29.7205
1.0792e-06	126.868	54.2623	6.54633	29.7159
1.07944e-06	126.861	54.2532	6.54591	29.7112
1.07969e-06	126.853	54.2441	6.54549	29.7065
1.07994e-06	126.846	54.235	6.54508	29.7018
1.08019e-06	126.839	54.2259	6.54466	29.6971
1.08044e-06	126.831	54.2168	6.54424	29.6924
1.08069e-06	126.824	54.2076	6.54382	29.6877
1.08094e-06	126.817	54.1985	6.54341	29.683
1.08118e-06	126.809	54.1894	6.54299	29.6783
1.08143e-06	126.802	54.1803	6.54257	29.6736
1.08168e-06	126.795	54.1712	6.54215	29.6689
1.08193e-06	126.787	54.1622	6.54174	29.6642
1.08218e-06	126.78	54.1531	6.54132	29.6596
1.08243e-06	126.773	54.144	6.5409	29.6549
1.08268e-06	126.765	54.1349	6.54048	29.6502
1.08293e-06	126.758	54.1258	6.54007	29.6455
1.08318e-06	126.75	54.1167	6.53965	29.6408
1.08343e-06	126.743	54.1076	6.53923	29.6361
1.08368e-06	126.736	54.0985	6.53881	29.6315
1.08393e-06	126.728	54.0894	6.5384	29.6268
1.08418e-06	126.721	54.0804	6.53798	29.6221
1.08443e-06	126.714	54.0713	6.53756	29.6174
1.08468e-06	126.706	54.0622	6.53714	29.6127
1.08493e-06	126.699	54.0531	6.53673	29.6081
1.08518e-06	126.692	54.044	6.53631	29.6034
1.08543e-06	126.684	54.035	6.53589	29.5987
1.08568e-06	126.677	54.0259	6.53547	29.594
1.08593e-06	126.67	54.0168	6.53506	29.5894
1.08618e-06	126.662	54.0078	6.53464	29.5847
1.08643e-06	126.655	53.9987	6.53422	29.58
1.08668e-06	126.648	53.9896	6.5338	29.5753
1.08693e-06	126.64	53.9806	6.53339	29.5707
1.08718e-06	126.633	53.9715	6.53297	29.566
1.08743e-06	126.625	53.9624	6.53255	29.5613
1.08768e-06	126.618	53.9534	6.53214	29.5567
1.08793e-06	126.611	53.9443	6.53172	29.552
1.08818e-06	126.603	53.9353	6.5313	29.5473
1.08843e-06	126.596	53.9262	6.53088	29.5427
1.08868e-06	126.589	53.9172	6.53047	29.538
1.08893e-06	126.581	53.9081	6.53005	29.5333
1.08918e-06	126.574	53.8991	6.52963	29.5287
1.08943e-06	126.567	53.89	6.52922	29.524
1.08968e-06	126.559	53.881	6.5288	29.5193
1.08993e-06	126.552	53.8719	6.52838	29.5147
1.09018e-06	126.545	53.8629	6.52797	29.51
1.09044e-06	126.537	53.8538	6.52755	29.5054
1.09069e-06	126.53	53.8448	6.52713	29.5007
1.09094e-06	126.523	53.8358	6.52672	29.496
1.09119e-06	126.515	53.8267	6.5263	29.4914
1.09144e-06	126.508	53.8177	6.52588	29.4867
1.09169e-06	126.501	53.8086	6.52547	29.4821
1.09194e-06	126.493	53.7996	6.52505	29.4774
1.09219e-06	126.486	53.7906	6.52463	29.4728
1.09245e-06	126.479	53.7816	6.52422	29.4681
1.0927e-06	126.471	53.7725	6.5238	29.4635
1.09295e-06	126.464	53.7635	6.52338	29.4588
1.0932e-06	126.457	53.7545	6.52297	29.4542
1.09345e-06	126.449	53.7455	6.52255	29.4495
1.0937e-06	126.442	53.7364	6.52213	29.4449
1.09396e-06	126.435	53.7274	6.52172	29.4402
1.09421e-06	126.427	53.7184	6.5213	29.4356
1.09446e-06	126.42	53.7094	6.52088	29.4309
1.09471e-06	126.413	53.7004	6.52047	29.4263
1.09496e-06	126.405	53.6913	6.52005	29.4216
1.09522e-06	126.398	53.6823	6.51963	29.417
1.09547e-06	126.391	53.6733	6.51922	29.4123
1.09572e-06	126.383	53.6643	6.5188	29.4077
1.09597e-06	126.376	53.6553	6.51838	29.4031
1.09623e-06	126.368	53.6463	6.51797	29.3984
1.09648e-06	126.361	53.6373	6.51755	29.3938
1.09673e-06	126.354	53.6283	6.51713	29.3891
1.09698e-06	126.346	53.6193	6.51672	29.3845
1.09724e-06	126.339	53.6103	6.5163	29.3799
1.09749e-06	126.332	53.6013	6.51589	29.3752
1.09774e-06	126.324	53.5923	6.51547	29.3706
1.09799e-06	126.317	53.5833	6.51505	29.3659
1.09825e-06	126.31	53.5743	6.51464	29.3613
1.0985e-06	126.302	53.5653	6.51422	29.3567
1.09875e-06	126.295	53.5563	6.5138	29.352
1.09901e-06	126.288	53.5473	6.51339	29.3474
1.09926e-06	126.28	53.5384	6.51297	29.3428
1.09951e-06	126.273	53.5294	6.51256	29.3381
1.09977e-06	126.266	53.5204	6.51214	29.3335
1.10002e-06	126.258	53.5114	6.51172	29.3289
1.10027e-06	126.251	53.5024	6.51131	29.3243
