x	xg	error+	error-	error
1e-06	212.551	60.0188	9.81116	33.9611
1.00023e-06	212.537	60.0086	9.81045	33.9558
1.00046e-06	212.523	59.9985	9.80973	33.9505
1.00069e-06	212.509	59.9884	9.80902	33.9452
1.00092e-06	212.496	59.9782	9.80831	33.9399
1.00115e-06	212.482	59.9681	9.8076	33.9346
1.00138e-06	212.468	59.958	9.80688	33.9293
1.00161e-06	212.454	59.9479	9.80617	33.924
1.00184e-06	212.441	59.9378	9.80546	33.9187
1.00207e-06	212.427	59.9276	9.80475	33.9134
1.00231e-06	212.413	59.9175	9.80404	33.9081
1.00254e-06	212.399	59.9074	9.80332	33.9028
1.00277e-06	212.386	59.8973	9.80261	33.8975
1.003e-06	212.372	59.8872	9.8019	33.8922
1.00323e-06	212.358	59.8771	9.80119	33.8869
1.00346e-06	212.345	59.867	9.80048	33.8816
1.00369e-06	212.331	59.8569	9.79976	33.8763
1.00392e-06	212.317	59.8467	9.79905	33.871
1.00415e-06	212.303	59.8366	9.79834	33.8657
1.00438e-06	212.29	59.8265	9.79763	33.8604
1.00462e-06	212.276	59.8164	9.79692	33.8551
1.00485e-06	212.262	59.8063	9.7962	33.8498
1.00508e-06	212.248	59.7962	9.79549	33.8445
1.00531e-06	212.235	59.7861	9.79478	33.8392
1.00554e-06	212.221	59.776	9.79407	33.8339
1.00577e-06	212.207	59.7659	9.79336	33.8286
1.006e-06	212.194	59.7558	9.79265	33.8233
1.00624e-06	212.18	59.7458	9.79194	33.8181
1.00647e-06	212.166	59.7357	9.79122	33.8128
1.0067e-06	212.152	59.7256	9.79051	33.8075
1.00693e-06	212.139	59.7155	9.7898	33.8022
1.00716e-06	212.125	59.7054	9.78909	33.7969
1.0074e-06	212.111	59.6953	9.78838	33.7916
1.00763e-06	212.098	59.6852	9.78767	33.7863
1.00786e-06	212.084	59.6752	9.78696	33.781
1.00809e-06	212.07	59.6651	9.78625	33.7758
1.00832e-06	212.056	59.655	9.78553	33.7705
1.00856e-06	212.043	59.6449	9.78482	33.7652
1.00879e-06	212.029	59.6348	9.78411	33.7599
1.00902e-06	212.015	59.6248	9.7834	33.7546
1.00925e-06	212.002	59.6147	9.78269	33.7494
1.00949e-06	211.988	59.6046	9.78198	33.7441
1.00972e-06	211.974	59.5946	9.78127	33.7388
1.00995e-06	211.961	59.5845	9.78056	33.7335
1.01018e-06	211.947	59.5744	9.77985	33.7282
1.01042e-06	211.933	59.5643	9.77914	33.723
1.01065e-06	211.919	59.5543	9.77843	33.7177
1.01088e-06	211.906	59.5442	9.77772	33.7124
1.01111e-06	211.892	59.5342	9.777	33.7071
1.01135e-06	211.878	59.5241	9.77629	33.7019
1.01158e-06	211.865	59.514	9.77558	33.6966
1.01181e-06	211.851	59.504	9.77487	33.6913
1.01205e-06	211.837	59.4939	9.77416	33.686
1.01228e-06	211.824	59.4839	9.77345	33.6808
1.01251e-06	211.81	59.4738	9.77274	33.6755
1.01274e-06	211.796	59.4638	9.77203	33.6702
1.01298e-06	211.782	59.4537	9.77132	33.665
1.01321e-06	211.769	59.4437	9.77061	33.6597
1.01344e-06	211.755	59.4336	9.7699	33.6544
1.01368e-06	211.741	59.4236	9.76919	33.6492
1.01391e-06	211.728	59.4135	9.76848	33.6439
1.01414e-06	211.714	59.4035	9.76777	33.6386
1.01438e-06	211.7	59.3935	9.76706	33.6334
1.01461e-06	211.687	59.3834	9.76635	33.6281
1.01485e-06	211.673	59.3734	9.76564	33.6228
1.01508e-06	211.659	59.3633	9.76493	33.6176
1.01531e-06	211.646	59.3533	9.76422	33.6123
1.01555e-06	211.632	59.3433	9.76351	33.6071
1.01578e-06	211.618	59.3332	9.7628	33.6018
1.01601e-06	211.604	59.3232	9.76209	33.5965
1.01625e-06	211.591	59.3132	9.76138	33.5913
1.01648e-06	211.577	59.3031	9.76067	33.586
1.01672e-06	211.563	59.2931	9.75996	33.5808
1.01695e-06	211.55	59.2831	9.75925	33.5755
1.01719e-06	211.536	59.2731	9.75854	33.5703
1.01742e-06	211.522	59.2631	9.75783	33.565
1.01765e-06	211.509	59.253	9.75712	33.5598
1.01789e-06	211.495	59.243	9.75641	33.5545
1.01812e-06	211.481	59.233	9.75571	33.5493
1.01836e-06	211.468	59.223	9.755	33.544
1.01859e-06	211.454	59.213	9.75429	33.5388
1.01883e-06	211.44	59.203	9.75358	33.5335
1.01906e-06	211.427	59.193	9.75287	33.5283
1.0193e-06	211.413	59.183	9.75216	33.523
1.01953e-06	211.399	59.173	9.75145	33.5178
1.01976e-06	211.386	59.163	9.75074	33.5125
1.02e-06	211.372	59.153	9.75003	33.5073
1.02023e-06	211.358	59.143	9.74932	33.5021
1.02047e-06	211.345	59.133	9.74861	33.4968
1.0207e-06	211.331	59.123	9.74791	33.4916
1.02094e-06	211.317	59.113	9.7472	33.4863
1.02117e-06	211.304	59.103	9.74649	33.4811
1.02141e-06	211.29	59.093	9.74578	33.4759
