W(GeV)	WErrorp	WErrorm	sigma(mb)	Errorp	Errorm
10.244739735520179	0.0	0.0	38.43	0.19501240575922343	0.19501240575922343
10.692681705456694	0.0	0.0	38.44	0.19504393761406685	0.19504393761406685
11.122606896082079	0.0	0.0	38.65	0.214113060087422	0.214113060087422
11.454939904919243	0.0	0.0	36.68	0.53	0.53
11.536527960370002	0.0	0.0	38.28	0.1582584417969544	0.1582584417969544
11.777423331885082	0.0	0.0	37.6	1.1159498196603646	1.1159498196603646
13.623791187366317	0.0	0.0	37.6	1.1159498196603646	1.1159498196603646
13.761102454207489	0.06799220337182987	0.06832975790391949	38.7	1.7429632813114568	1.7429632813114568
13.761102454207489	0.0	0.0	38.46	0.1589551685224485	0.1589551685224485
13.761102454207489	0.0	0.0	38.39	0.20110893192496448	0.20110893192496448
13.896754259300097	0.0	0.0	38.9	0.8	0.8
15.062754241579396	0.0	0.0	38.58	0.1594197679085	0.1594197679085
15.186562495918151	0.0	0.0	37.0	1.1154483403546755	1.1154483403546755
16.659281926304363	0.0	0.0	37.6	1.1159498196603646	1.1159498196603646
16.6594508368527	0.0	0.0	38.47	0.58	0.58
16.82751288527292	0.0	0.0	38.69	0.1598457306280027	0.1598457306280027
16.82751288527292	0.0	0.0	38.62	0.20220684953779383	0.20220684953779383
17.907667146552097	0.0	0.0	38.83	0.16038797461156495	0.16038797461156495
18.011986701500764	0.0	0.0	37.4	1.1157817887024326	1.1157817887024326
18.167674697934405	0.090127941984953	0.09057726596478943	39.6	1.619056515381721	1.619056515381721
19.22122986976183	0.0	0.0	38.5	1.2153420300475088	1.2153420300475088
19.415555991154672	0.0	0.0	38.98	0.160969085230674	0.160969085230674
19.415555991154672	0.0	0.0	38.9	0.20354422123951346	0.20354422123951346
19.655628043939934	0.0	0.0	39.0	1.0	1.0
21.26036515938739	0.0	0.0	39.24	0.1619766699250235	0.1619766699250235
22.95740916281996	0.0	0.0	39.42	0.16267446757251122	0.16267446757251122
23.496608067469307	0.0	0.0	39.65	0.23385570337282774	0.23385570337282774
23.496608067469307	0.0	0.0	39.4	0.3	0.3
23.496608067469307	0.0	0.0	39.13	0.39688997014285965	0.39688997014285965
23.496608067469307	0.0	0.0	38.8	0.25	0.25
23.496608067469307	0.0	0.0	38.9	0.7	0.7
23.596593673866234	0.0	0.0	38.7	0.7	0.7
23.76052269989369	0.0	0.0	39.21	0.92	0.92
23.76052269989369	0.059141976289801335	0.059289550622924736	40.68	0.55	0.55
23.878660174619256	0.0	0.0	39.0	1.0	1.0
24.152067204103922	0.0	0.0	39.59	0.1693454741054511	0.1693454741054511
25.290356172456125	0.0	0.0	39.69	0.1735071687279808	0.1735071687279808
26.379573888140268	0.0	0.0	39.77	0.17001895894281907	0.17001895894281907
27.596045473208555	0.0	0.0	40.6	1.2	1.2
30.5955887439932	0.0	0.0	40.22	0.21326597103147987	0.21326597103147987
30.5955887439932	0.0	0.0	40.11	0.1879767230270812	0.1879767230270812
30.5955887439932	0.0	0.0	39.91	0.4077267364301733	0.4077267364301733
30.5955887439932	0.0	0.0	40.07	0.24	0.24
30.5955887439932	0.0	0.0	40.2	0.8	0.8
30.59580212265094	0.0	0.0	40.1	0.4	0.4
30.69557572344225	0.0	0.0	40.1	0.2	0.2
30.795559408804134	0.0	0.0	40.0	0.6	0.6
35.19492921339282	0.0	0.0	40.42	0.6199013147267878	0.6199013147267878
44.692833193231245	0.0	0.0	41.7	0.4	0.4
44.693563349240065	0.0	0.0	41.9	0.24	0.24
44.89353597691728	0.0	0.0	41.89	0.4069051432459413	0.4069051432459413
45.19349293880148	0.0	0.0	42.5	0.8	0.8
52.79239701954841	0.0	0.0	43.01	0.26381387681469676	0.26381387681469676
52.79239701954841	0.0	0.0	42.38	0.17229120000742928	0.17229120000742928
52.79239701954841	0.0	0.0	42.1	0.2	0.2
52.79239701954841	0.0	0.0	42.85	0.41833050331048055	0.41833050331048055
52.79239701954841	0.0	0.0	42.71	0.35	0.35
52.89199482735804	0.0	0.0	42.4	0.4	0.4
53.19234073941078	0.0	0.0	42.9	0.7	0.7
62.291030875055725	0.0	0.0	43.55	0.32200374221427924	0.32200374221427924
62.3920816670216	0.0	0.0	43.1	0.4	0.4
62.491005012279444	0.0	0.0	44.0	0.4464258057057186	0.4464258057057186
62.69097686203887	0.0	0.0	43.82	0.3176551746784554	0.3176551746784554
62.69097686203887	0.0	0.0	42.96	0.38	0.38
62.79096096496027	0.0	0.0	44.1	0.9	0.9
62.990933150179295	0.0	0.0	42.2	3.5	3.5
86.44068425953466	35.645675946369295	25.23095294471159	43.0	5.9687184554140265	5.9687184554140265
136.98042112110258	35.46191631399034	28.16747235680873	48.0	6.923698433640795	6.923698433640795
193.4824636220615	50.09172161512791	39.79251680188577	54.0	7.161256872923915	7.161256872923915
273.29301437958344	70.758917313658	56.2057514625549	56.0	8.306527553677288	8.306527553677288
386.0285840408341	159.25024343628723	112.73556966125068	54.0	9.033825324855467	9.033825324855467
6163.217488658014	780.8955486563982	895.5882543629505	93.0	14.0	14.0
6999.008054717468	0.0	0.0	98.3	2.759656819244016	2.759656819244016
6999.008054717468	0.0	0.0	98.58	2.26734	2.26734
6999.008054717468	0.0	0.0	98.0	2.548	2.548
7998.6940184007535	0.0	0.0	101.7	2.9493	2.9493
8124.588481886329	1029.490950257572	1180.4754445719163	101.0	16.0	16.0
