Q2	alphaQED	InvalphaQED
138.038	0.00758111	131.907
141.254	0.00758208	131.89
144.544	0.00758305	131.873
147.911	0.00758402	131.856
151.356	0.00758499	131.839
154.882	0.00758597	131.822
158.489	0.00758694	131.806
162.181	0.00758791	131.789
165.959	0.00758888	131.772
169.824	0.00758985	131.755
173.78	0.00759082	131.738
177.828	0.00759179	131.721
181.97	0.00759276	131.704
186.209	0.00759373	131.688
190.546	0.0075947	131.671
194.984	0.00759567	131.654
199.526	0.00759664	131.637
204.174	0.00759761	131.62
208.93	0.00759858	131.604
213.796	0.00759955	131.587
218.776	0.00760052	131.57
223.872	0.00760149	131.553
229.087	0.00760246	131.536
234.423	0.00760343	131.52
239.883	0.0076044	131.503
245.471	0.00760537	131.486
251.189	0.00760634	131.469
257.04	0.00760731	131.452
263.027	0.00760828	131.436
269.153	0.00760925	131.419
275.423	0.00761023	131.402
281.838	0.0076112	131.385
288.403	0.00761217	131.369
295.121	0.00761314	131.352
301.995	0.00761411	131.335
309.03	0.00761508	131.318
316.228	0.00761605	131.302
323.594	0.00761702	131.285
331.131	0.00761799	131.268
338.844	0.00761897	131.251
346.737	0.00761994	131.235
354.813	0.00762091	131.218
363.078	0.00762188	131.201
371.535	0.00762285	131.184
380.189	0.00762382	131.168
389.045	0.0076248	131.151
398.107	0.00762577	131.134
407.38	0.00762674	131.118
416.869	0.00762771	131.101
426.58	0.00762869	131.084
436.516	0.00762966	131.067
446.684	0.00763063	131.051
457.088	0.00763161	131.034
467.735	0.00763258	131.017
478.63	0.00763355	131.001
489.779	0.00763453	130.984
501.187	0.0076355	130.967
512.861	0.00763647	130.951
524.807	0.00763745	130.934
537.032	0.00763842	130.917
549.541	0.0076394	130.9
562.341	0.00764037	130.884
575.44	0.00764134	130.867
588.844	0.00764232	130.85
602.56	0.00764329	130.834
616.595	0.00764427	130.817
630.957	0.00764524	130.8
645.654	0.00764622	130.784
660.693	0.0076472	130.767
676.083	0.00764817	130.75
691.831	0.00764915	130.734
707.946	0.00765012	130.717
724.436	0.0076511	130.7
741.31	0.00765208	130.683
758.578	0.00765305	130.667
776.247	0.00765403	130.65
794.328	0.00765501	130.633
812.831	0.00765598	130.617
831.764	0.00765696	130.6
851.138	0.00765794	130.583
870.964	0.00765892	130.567
891.251	0.00765989	130.55
912.011	0.00766087	130.533
933.254	0.00766185	130.517
954.993	0.00766283	130.5
977.237	0.00766381	130.483
1000	0.00766479	130.467
1023.29	0.00766577	130.45
1047.13	0.00766675	130.433
1071.52	0.00766773	130.417
1096.48	0.00766871	130.4
1122.02	0.00766969	130.383
1148.15	0.00767067	130.367
1174.9	0.00767165	130.35
1202.26	0.00767263	130.333
1230.27	0.00767361	130.317
1258.93	0.00767459	130.3
1288.25	0.00767557	130.283
1318.26	0.00767655	130.267
1348.96	0.00767753	130.25
1380.38	0.00767852	130.234
1412.54	0.0076795	130.217
1445.44	0.00768048	130.2
1479.11	0.00768146	130.184
1513.56	0.00768244	130.167
1548.82	0.00768343	130.15
1584.89	0.00768441	130.134
